"geo","gdp_per_capita_eur","employment_rate_per1000","CNMIGRATRT","GBIRTHRT","GDEATHRT","GROWRT","NATGROWRT"
"DEF08","32848.8619600622","56.1842248557031","3.9","7.0","16.9","-6.0","-9.9"
"SI036","21242.7463599916","122.256805233172","6.2","8.1","12.2","2.1","-4.1"
"RS110","15219.1156540523","83.1548997457507","2.7","10.5","14.2","-0.9","-3.7"
"FRJ12","28127.5114200076","57.1982042119868","10.4","9.7","11.1","9.0","-1.4"
"ITI19","34726.3302566144","114.467725078386","5.5","6.0","14.0","-2.5","-8.0"
"BE32B","30647.2213631827","46.2624235978589","6.0","10.7","11.5","5.3","-0.7"
"RO421","13132.1871298278","43.0435651576233","6.1","9.1","14.8","0.4","-5.7"
"EL302","14096.90644021","54.5085653328871","-6.8","7.6","12.3","-11.5","-4.7"
"ES412","30181.2617304408","78.9074697192585","13.1","6.0","12.0","7.1","-6.0"
"AT112","37963.0402750491","58.9390962671906","17.2","7.5","11.2","13.5","-3.7"
"ITF12","28172.0763834658","106.458954900115","4.5","6.5","12.9","-1.9","-6.4"
"HU231","12124.8452667014","39.7685581937233","2.0","8.2","15.1","-4.9","-6.9"
"BG425","7787.12161029589","207.324175746126","21.6","7.8","17.2","12.1","-9.5"
"SI032","21977.4815700096","91.6164122951969","6.8","7.5","11.2","3.1","-3.7"
"DE926","37524.2621167444","38.2182015974349","-42.5","8.5","18.6","-52.5","-10.0"
"RO316","16264.9063645605","50.3238291610391","3.7","7.8","16.2","-4.7","-8.4"
"DE129","52055.8596021636","45.4874969130639","65.1","11.4","11.9","64.5","-0.5"
"EL611","12708.7497638702","230.945969098841","1.5","5.8","16.8","-9.4","-10.9"
"DE21C","32797.9357577809","46.2990497714785","-12.3","9.3","11.2","-14.1","-1.9"
"ITH56","28866.4882072485","98.9477962028783","9.2","5.4","15.5","-0.8","-10.0"
"ES533","23978.0529734515","72.0587175607095","20.1","6.6","7.6","19.0","-1.1"
"DE21H","133050.220531276","71.8620386065511","2.4","8.6","10.4","0.6","-1.8"
"RS227","5800.26473495786","184.700106675901","-12.7","9.1","17.6","-21.2","-8.5"
"FRF12","31555.6134410003","36.7283146652774","4.4","9.4","10.0","3.8","-0.6"
"HU110","37190.5111265376","42.9252297387714","3.7","8.7","13.3","-0.9","-4.6"
"ITH34","38194.0789848386","107.872284682591","4.8","6.8","10.5","1.1","-3.7"
"RO125","11463.204564241","62.794923226029","5.3","10.4","14.9","0.8","-4.5"
"DE263","78098.6032001134","60.6619240071534","37.0","8.8","12.2","33.6","-3.4"
"RO412","18315.0866544206","124.942097276575","1.8","7.0","14.3","-5.5","-7.3"
"DE12A","33893.2452111572","41.5095278991325","-1.3","9.6","11.7","-3.4","-2.1"
"FRG02","31409.851585037","46.6098573810815","6.2","10.2","9.6","6.8","0.6"
"DE23A","50148.2246538633","55.8284948637785","19.2","8.4","15.0","12.7","-6.6"
"PL619","12617.2832056001","124.615291774787","-2.1","7.1","13.6","-8.7","-6.6"
"AT123","49721.3189427201","56.9382409879417","16.5","9.2","10.5","15.1","-1.3"
"ES425","22095.6481314733","64.49694477135","21.8","7.3","8.6","20.4","-1.4"
"NL132","35199.1671300295","84.7066617767104","12.5","8.0","12.7","7.8","-4.7"
"ITH51","37579.1980524635","106.902817224408","9.0","6.9","13.1","2.8","-6.2"
"PT11B","14820.2288755504","128.280092123006","-5.0","4.9","17.4","-17.5","-12.6"
"FRH02","31811.5295415945","47.9571338661425","9.7","8.6","12.3","6.0","-3.8"
"DE11D","52479.6434387589","42.3797415311943","6.2","9.5","11.5","4.2","-2.0"
"DE804","47889.7012742845","44.2866095675789","27.8","7.7","16.1","19.4","-8.4"
"ITC47","40499.7937209783","103.019813159883","6.7","6.9","10.3","3.3","-3.4"
"EL641","31474.4740771543","215.661443665299","7.1","7.2","15.1","-0.8","-7.8"
"RO215","7864.36356145914","182.408054730219","2.2","12.7","12.6","2.3","0.1"
