"geo","CNMIGRATRT","GBIRTHRT","GDEATHRT","GROWRT","NATGROWRT"
"DE713","-7.5","11.4","9.6","-5.8","1.8"
"DEB3J","-28.8","8.5","11.2","-31.5","-2.8"
"BG313","0.0","8.2","22.6","-14.4","-14.3"
"TRA24","-29.6","11.4","8.0","-26.2","3.4"
"ES414","7.5","5.4","14.2","-1.3","-8.8"
"TRB21","-27.2","19.3","2.9","-10.8","16.4"
"ES241","12.8","6.7","12.1","7.4","-5.4"
"DEE07","1.9","6.5","15.1","-6.8","-8.7"
"DE93B","-0.7","9.1","13.6","-5.2","-4.5"
"FRK26","-1.1","12.0","7.4","3.5","4.6"
"DEA18","21.7","9.0","13.3","17.4","-4.3"
"DE125","-29.1","8.5","9.2","-29.8","-0.7"
"CH024","2.9","8.9","9.5","2.3","-0.6"
"DE235","-3.5","9.0","13.3","-7.8","-4.3"
"DE252","6.7","9.3","10.6","5.4","-1.3"
"EE00A","17.3","5.3","18.0","4.7","-12.6"
"ITC4B","10.1","6.4","12.5","4.1","-6.1"
"PL418","7.5","9.6","8.8","8.3","0.8"
"ES243","15.1","6.7","11.0","10.8","-4.4"
"DE271","2.6","9.8","11.6","0.8","-1.8"
"AT322","10.0","10.2","9.5","10.7","0.7"
"EL521","-1.6","6.4","16.0","-11.3","-9.6"
"DE94C","-13.1","9.3","13.9","-17.7","-4.6"
"BG342","0.6","12.2","18.1","-5.3","-5.9"
"HU211","7.1","9.5","14.2","2.4","-4.7"
"HU321","0.7","10.4","13.3","-2.2","-2.9"
"DEA2A","11.8","9.4","13.8","7.4","-4.4"
"ES522","24.2","7.0","9.8","21.4","-2.8"
"SK023","-0.1","8.3","12.5","-4.2","-4.1"
"ITF48","-0.4","7.1","9.7","-2.9","-2.6"
"HR021","-6.7","9.6","16.9","-13.9","-7.2"
"TR721","-1.1","11.8","5.6","5.0","6.1"
"ES423","15.5","6.6","13.0","9.1","-6.4"
"ITI44","3.4","6.7","10.9","-0.8","-4.2"
"PT11A","28.8","7.4","10.2","26.0","-2.8"
"TR723","-2.5","10.3","8.0","-0.1","2.3"
"ITI12","7.3","5.4","13.4","-0.7","-8.0"
"NL230","17.5","11.6","6.5","22.6","5.1"
"RS224","-31.3","8.7","17.8","-40.4","-9.0"
"DED21","10.7","8.5","10.9","8.3","-2.4"
"NO060","8.1","9.6","8.6","9.1","1.0"
"DE21A","-7.3","9.6","9.3","-7.0","0.3"
"RS126","-58.7","8.6","18.5","-68.6","-9.9"
"FI1C6","3.6","7.0","13.5","-2.9","-6.5"
"ITG17","0.2","8.2","11.3","-2.9","-3.1"
"AL034","-17.5","6.5","11.4","-22.4","-4.9"
"FRI13","15.6","8.4","12.0","11.9","-3.7"
"DE21J","-9.4","10.3","10.4","-9.6","-0.2"
"NL212","12.3","9.6","10.1","11.8","-0.4"
"DK012","15.8","9.9","9.7","16.0","0.3"
"TR906","-39.6","9.5","7.7","-37.8","1.8"
"FR101","-9.0","11.3","7.0","-4.7","4.3"
"ITC16","7.2","6.8","13.1","1.0","-6.2"
"DEG0J","21.0","5.9","13.9","13.0","-7.9"
"NO0A2","6.2","9.7","8.3","7.6","1.4"
"AL013","-21.5","11.4","7.5","-17.6","3.9"
"DEF09","15.3","8.4","12.7","11.0","-4.3"
"DEA37","-4.3","9.6","12.0","-6.7","-2.4"
"DE266","2.1","9.3","13.4","-2.0","-4.1"
"DE943","25.4","9.1","11.0","23.5","-1.9"
"FRC14","0.3","9.0","14.2","-4.9","-5.2"
"HR023","-10.6","8.9","17.0","-18.6","-8.0"
"EL653","2.0","6.8","15.7","-6.9","-8.9"
"HU333","1.8","8.9","14.2","-3.6","-5.4"
"TRC33","-1.4","23.7","2.4","20.0","21.4"
"FRK11","1.9","7.8","14.0","-4.2","-6.2"
"PL721","-1.5","7.3","13.7","-7.8","-6.3"
"DED45","14.0","6.9","17.9","2.9","-11.0"
"RO221","-0.3","7.6","18.7","-11.4","-11.1"
"DEA41","-5.4","9.8","12.2","-7.9","-2.4"
"ITH37","5.7","5.1","15.0","-4.2","-9.9"
"TR411","10.1","10.9","6.2","14.8","4.7"
"DEB3D","-3.5","8.0","14.0","-9.5","-6.0"
"DE27E","-27.4","9.4","11.3","-29.3","-1.9"
"FRF23","-1.9","10.3","10.2","-1.8","0.0"
"FRC11","5.7","9.1","10.0","4.7","-1.0"
"NL226","11.3","8.9","9.8","10.3","-1.0"
"DEF0F","7.1","8.1","13.5","1.7","-5.4"
"FI193","3.8","7.4","12.2","-1.0","-4.8"
"DE216","10.3","9.8","11.2","8.9","-1.4"
"DE71E","-4.0","8.9","12.3","-7.4","-3.4"
"DE719","-15.4","9.3","12.3","-18.4","-3.0"
"RO114","4.4","9.4","13.3","0.5","-3.9"
"DEA2C","7.0","8.8","12.2","3.7","-3.4"
"FRM01","16.3","8.0","10.7","13.5","-2.8"
"LT028","6.6","6.7","15.2","-1.9","-8.5"
"RS226","-37.2","6.7","20.2","-50.8","-13.6"
"HR027","0.8","7.1","17.9","-10.0","-10.8"
"CZ032","47.1","9.3","11.3","45.1","-2.0"
"DEB3G","8.9","9.3","15.7","2.5","-6.4"
"DE71D","-3.7","8.0","12.6","-8.3","-4.6"
"FRK28","9.7","11.2","7.4","13.5","3.8"
"PT200","15.9","8.6","11.3","13.2","-2.7"
"HU223","6.2","7.3","15.6","-2.2","-8.3"
"NO092","14.6","9.4","8.3","15.7","1.1"
"DE123","13.5","8.9","11.6","10.8","-2.7"
"DEG02","43.5","7.1","17.3","33.2","-10.2"
