"geo","gdp_per_capita_eur","employment_rate_per1000","CNMIGRATRT","GBIRTHRT","GDEATHRT","GROWRT","NATGROWRT"
"ES21","36366.3894011682","52.4519590829385","9.5","6.2","10.9","4.7","-4.8"
"FRG0","34546.0526044438","47.4580430684963","7.2","10.1","10.1","7.2","0.0"
"EE00","27257.1249650847","52.6582149218048","29.5","8.6","12.8","25.3","-4.2"
"HU32","11373.8088832883","42.1368598411372","-1.7","10.6","14.2","-5.3","-3.7"
"DE25","52092.3358446675","47.8971022590754","5.9","9.2","12.2","3.0","-3.0"
"AT12","41036.3516278588","61.1020981918959","14.4","8.5","11.4","11.5","-2.9"
"EL53","16058.9266371246","166.459871984244","-6.5","5.7","15.3","-16.1","-9.7"
"ITF2","24956.3580352559","108.848194420674","3.7","5.8","14.7","-5.2","-8.9"
"HR03","16886.1912807338","69.2866125087756","7.6","8.4","14.6","1.4","-6.2"
"PT11","20072.9450428784","76.6403562570187","21.9","7.2","10.7","18.5","-3.4"
"PL22","18688.8941664805","56.2960432492129","-0.8","7.4","13.3","-6.7","-5.9"
"NL22","47361.7133987089","93.8699968537844","11.9","9.2","10.1","10.9","-0.9"
"ES52","24976.5129175528","63.4087601972308","23.7","6.9","9.7","20.9","-2.8"
"RO22","11547.0518594296","96.6044683218642","3.1","9.0","15.6","-3.5","-6.6"
"CZ06","25267.8472550816","67.8612312143897","26.6","10.0","11.2","25.4","-1.3"
"BE24","50887.401231392","84.1598833346395","11.9","9.4","9.4","12.0","0.0"
"FRL0","42067.1325057366","61.6790630816864","9.8","10.6","11.0","9.4","-0.4"
"ES61","21661.3902764421","61.6482898679796","10.4","7.4","9.2","8.5","-1.9"
"FRF3","28205.9814107575","35.4703959942559","1.4","8.7","11.0","-0.9","-2.3"
"FRE2","28728.2439641944","34.3423926136798","-1.9","10.5","10.3","-1.7","0.2"
"BE31","62330.7494295198","95.7091610471021","8.8","8.7","9.4","8.1","-0.7"
"PL41","18755.1255495128","105.337180430358","0.6","8.8","11.0","-1.6","-2.2"
