nuts3_code,population_2023,nights_spent_2023
IE042,499315,5107670.0
IE051,517337,3905368.0
IE052,467589,3447289.0
IE053,756254,10109638.0
IE061,1499179,5676266.0
IE062,776202,1910276.0
IE063,324626,2365254.0
IS001,247533,3483746.0
IS002,140225,6034845.0
ITC11,2204632,6336595.0
ITC12,165892,347923.0
ITC13,169106,266529.0
ITC14,154038,3211695.0
ITC15,362502,1393940.0
ITC16,580736,1796811.0
ITC17,207951,384985.0
ITC18,406494,671970.0
ITC20,123130,3692878.0
ITC31,208792,3316134.0
ITC32,267366,5204633.0
ITC33,816606,4574178.0
ITC34,214872,2989265.0
ITC41,879731,2245688.0
ITC42,597117,3346092.0
ITC43,332775,838794.0
ITC44,178795,3155374.0
ITC46,1106303,2451098.0
ITC47,1257326,10639360.0
ITC48,536406,502829.0
ITC49,228136,162682.0
ITC4A,352189,421640.0
ITC4B,406119,637225.0
ITC4C,3228006,16266235.0
ITC4D,873606,1128056.0
ITF11,287806,1217181.0
ITF12,299071,3156649.0
ITF13,313110,1144254.0
ITF14,372640,1286736.0
ITF21,79912,107438.0
ITF22,210724,387348.0
ITF31,906074,1306132.0
ITF32,263125,106197.0
ITF33,2980338,13948949.0
ITF34,398932,289326.0
ITF35,1061067,5045238.0
ITF43,556692,1212579.0
ITF44,379522,2253085.0
ITF45,771230,5387364.0
ITF46,595682,4325093.0
ITF47,1225048,3240753.0
ITF48,379509,403270.0
ITF51,346475,632821.0
ITF52,191102,1904503.0
ITF61,672432,3226074.0
ITF62,162749,679455.0
ITF63,342021,1168982.0
ITF64,150709,2518916.0
ITF65,518699,507167.0
ITG11,415006,2276074.0
ITG12,1204189,3865777.0
ITG13,600180,3722369.0
ITG14,413177,1575223.0
ITG15,249431,212549.0
ITG16,154940,138586.0
ITG17,1074434,2251412.0
ITG18,317793,1063978.0
ITG19,384866,1342316.0
ITG2D,474739,7436873.0
ITG2E,198520,2439970.0
ITG2F,420364,1422391.0
ITG2G,150325,782618.0
ITG2H,334198,2118684.0
ITH10,534147,36085187.0
ITH20,542996,19141944.0
ITH31,925656,18809189.0
ITH32,852779,2264687.0
ITH33,198105,3878266.0
ITH34,878828,2034187.0
ITH35,835895,38159987.0
ITH36,930349,5179574.0
ITH37,227941,1570973.0
ITH41,310133,620623.0
ITH42,517376,5838328.0
ITH43,138034,1930348.0
ITH44,228705,1557576.0
ITH51,284220,603481.0
ITH52,451688,1456998.0
ITH53,526990,766518.0
ITH54,704332,1778328.0
ITH55,1014124,5264365.0
ITH56,339287,2687923.0
ITH57,386355,6376367.0
ITH58,391648,5509149.0
ITH59,338934,14733008.0
ITI11,187583,1108132.0
ITI12,382184,3532737.0
ITI13,289759,2280511.0
ITI14,988194,12738957.0
ITI15,259244,488065.0
ITI16,326605,9298831.0
ITI17,417170,3514494.0
ITI18,334052,1756423.0
ITI19,260557,5406562.0
ITI1A,216633,5894598.0
ITI21,639224,5508310.0
ITI22,217183,920638.0
ITI31,349529,3078529.0
ITI32,461655,2588909.0
ITI33,303828,1723717.0
ITI34,201462,1695075.0
ITI35,167824,1574447.0
ITI41,308158,1453038.0
ITI42,150457,146230.0
ITI43,4227059,41135744.0
ITI44,566996,1836581.0
ITI45,467866,1155576.0
LI000,39677,222266.0
LT011,848724,2543338.0
LT021,135620,1147887.0
LT022,579903,1371410.0
LT023,334281,2361817.0
LT024,135787,80426.0
LT025,211377,159784.0
LT026,264056,275448.0
LT027,90617,49338.0
LT028,131447,146222.0
LT029,125467,338158.0
LU000,660809,3485954.0
LV003,232312,531600.0
LV005,247300,214337.0
LV006,609489,2303364.0
LV007,390676,852987.0
LV008,180431,298527.0
LV009,226858,170039.0
LV00A,860813,2982791.0
LV00B,280565,604547.0
LV00C,279703,399140.0
ME000,616695,5124981.0
MK001,137645,35084.0
MK002,148671,43944.0
MK003,176610,877170.0
MK004,147272,177589.0
MK005,208552,96938.0
MK006,251922,82137.0
MK007,152405,31145.0
MK008,606877,728919.0
MT001,501860,9577922.0
MT002,40191,314370.0
NL111,137736,534016.0
NL112,45394,99204.0
NL113,412945,1175341.0
NL114,137736,534016.0
NL115,412945,1175341.0
NL124,326583,4151852.0
NL125,142875,1774546.0
NL126,190093,884375.0
NL127,326583,4151852.0
NL128,142875,1774546.0
NL131,195308,3351571.0
NL132,170384,3183866.0
NL133,136359,1336386.0
NL211,385473,3648817.0
NL212,159963,739715.0
NL213,638897,4526491.0
NL221,715792,7694796.0
NL224,254660,770770.0
NL225,406261,3789390.0
NL226,756995,2347246.0
NL230,444701,3171508.0
NL310,1387643,4402838.0
NL321,385743,6431894.0
NL323,200749,794538.0
NL324,234638,2152014.0
NL325,176230,448847.0
NL327,243799,351398.0
NL328,255276,1752877.0
NL329,1456187,26365666.0
NL32A,234638,2152014.0
NL32B,1456187,26365666.0
NL332,910352,4337111.0
NL333,240445,815326.0
NL337,440312,2754807.0
NL33A,379752,614784.0
NL33B,345570,707229.0
NL33C,1488475,6552488.0
NL341,105832,3490219.0
NL342,285292,9899073.0
NL350,1387643,4402838.0
NL361,910352,4337111.0
NL362,240445,815326.0
NL363,440312,2754807.0
NL364,379752,614784.0
NL365,345570,707229.0
NL366,1488475,6552488.0
NL411,646718,2155957.0
NL412,503798,3538596.0
NL413,672514,2137400.0
NL414,803180,5633907.0
NL415,503798,3538596.0
NL416,672514,2137400.0
NL421,289248,5392049.0
NL422,241467,2448850.0
NL423,597652,5914701.0
NO020,373628,3662960.0
NO060,478470,2832153.0
NO071,241084,2280611.0
NO072,168340,1630435.0
NO073,74112,712277.0
NO074,242452,2342712.0
NO081,709037,6350848.0
NO082,1292241,5024741.0
NO083,309161,735165.0
NO084,716020,2339531.0
NO085,267060,1950045.0
NO091,429101,2608746.0
NO092,316051,2215156.0
NO093,253555,1502855.0
NO094,175546,1105891.0
NO0A1,492350,2315660.0
NO0A2,646205,5523884.0
NO0A3,268365,1742004.0
NO0B1,0,0.0
NO0B2,0,145017.0
PL213,792655,5741775.0
PL214,751069,815004.0
PL217,424550,198253.0
PL218,512612,2450062.0
