region_name,num_households_2021_total,num_households_2016_total,median_total_income_2020_total_cad,median_total_income_2015_total_cad,median_aftertax_income_2020_total_cad,median_aftertax_income_2015_total_cad,num_households_2021_1person,median_total_income_2020_1person_cad,num_households_2021_census_family,median_total_income_2020_census_family_cad,num_households_2021_non_census_family,median_total_income_2020_non_census_family_cad
Bentley,450,445,76000,79500,68000,70000,135,32000,295,94000,155,36800
Berens River 13,260,0,67500,0,65000,0,45,29800,210,76000,55,30200
Beresford,2670,2640,69500,62800,61200,56000,635,32000,1985,83000,690,33600
Beresford,2015,1935,66500,64000,58800,56800,625,30800,1320,90000,695,33600
Berry,230,215,76000,66000,63200,58800,70,41600,160,94000,70,42400
Berthier-sur-Mer,790,700,82000,76000,70500,65000,245,40800,530,105000,260,41200
Berthierville,2165,1990,50000,45200,45200,41200,985,28800,1100,79000,1065,30400
Bertrand,580,560,54800,49600,51200,45200,200,29600,360,76500,220,32000
Berwick,1045,1045,60400,55600,53200,50400,370,34000,635,77000,410,36400
Berwyn,240,230,81000,79500,70500,69000,65,32400,160,95000,80,44000
Bethune,180,160,78000,88000,68500,74000,55,46400,120,107000,60,48800
Betty Creek 18,,0,,0,,0,,,,,,
Betula Beach,,0,,0,,0,,,,,,
Biencourt,235,235,47600,42800,42800,40000,100,26800,125,75500,110,28000
Bienfait,285,335,88000,105000,75000,86000,90,50800,190,112000,95,52000
Bifrost-Riverton,1200,1225,69000,62000,62400,55600,270,33600,900,81000,295,36800
Big Arm No. 251,,,,,,,,,,,,
Big Grassy River 35G,80,,52400,,52000,,20,21800,60,60400,25,21800
Big Hole Tract 8 (North Half),,0,,0,,0,,,,,,
Big Hole Tract 8 (South Half),,0,,0,,0,,,,,,
Big Horn 144A,,,,,,,,,,,,
Big Island Lake Cree Territory,155,135,49200,41200,49200,41200,15,,140,53200,20,
Big Island Mainland 93,,0,,0,,0,,,,,,
Big Lakes County,2005,2095,76000,75500,68500,68500,545,35200,1395,92000,610,37600
Big Quill No. 308,220,230,81000,75500,73000,66500,50,43200,165,95000,55,44800
Big River,295,285,63600,72000,58000,66000,110,34000,180,84000,115,34400
Big River 118,340,365,62000,35600,60400,35600,50,18600,275,71000,65,21200
Big River 118A,,0,,0,,0,,,,,,
Big River No. 555,430,355,84000,88000,71500,75500,90,40800,335,101000,95,42800
Big Shell,,,,,,,,,,,,
Big Stick No. 141,,,,,,,,,,,,
Big Valley,160,170,50400,58800,47600,55600,60,26000,95,74000,60,28200
Biggar,940,980,73000,68500,64500,59600,360,36800,550,98000,385,38400
Biggar No. 347,265,260,91000,87000,82000,79000,60,33600,195,109000,70,40400
Bighorn No. 8,640,555,104000,98000,90000,86000,145,56000,480,122000,160,57600
Billings,345,280,81000,74500,71500,64500,95,46400,235,92000,105,48800
Binche 2,,,,,,,,,,,,
Birch Cove,,,,,,,,,,,,
Birch Hills,450,440,78500,77500,69000,67500,145,38000,290,103000,160,40800
Birch Hills County,485,495,67500,71000,61200,64000,140,31200,340,85000,145,31600
Birch Hills No. 460,245,245,93000,81000,81000,72000,45,46400,200,109000,45,47200
Birchcliff,,,,,,,,,,,,
Birchy Bay,225,225,59200,58800,56400,54400,35,27000,185,66500,40,32400
