region_name,num_households_2021_total,num_households_2016_total,median_total_income_2020_total_cad,median_total_income_2015_total_cad,median_aftertax_income_2020_total_cad,median_aftertax_income_2015_total_cad,num_households_2021_1person,median_total_income_2020_1person_cad,num_households_2021_census_family,median_total_income_2020_census_family_cad,num_households_2021_non_census_family,median_total_income_2020_non_census_family_cad
Bolton-Ouest,350,305,76500,70000,66500,59200,105,38000,240,100000,110,38800
Bon Accord,555,560,102000,114000,89000,97000,110,54800,425,115000,130,61200
Bonaparte 3,,,,,,,,,,,,
Bonaventure,1320,1205,62800,61600,56000,54400,510,33200,770,91000,545,35200
Bonavista,1470,1520,54800,54400,49600,50800,455,27200,980,71500,490,28800
Bondiss,,,,,,,,,,,,
Bone Creek No. 108,105,110,77500,79500,67000,69000,25,36800,70,95000,35,43600
Bonfield,890,820,77000,72500,69500,65000,220,42000,640,97000,245,43600
Bonne-Espérance,285,270,78000,73000,69000,64000,60,31000,205,90000,75,38400
Bonnechere Valley,1735,1620,68000,58800,61200,54400,545,32400,1150,84000,585,36000
Bonnyville,2535,2305,85000,109000,75000,92000,750,44000,1630,107000,910,51200
Bonnyville Beach,,,,,,,,,,,,
Bonnyville No. 87,4760,4560,112000,125000,96000,104000,885,51600,3760,130000,1005,55600
Bonsecours,295,280,68000,62000,58800,52800,100,39600,185,93000,110,40400
Boothroyd 13,,0,,0,,0,,,,,,
Boothroyd 8A,,0,,0,,0,,,,,,
Borden,320,300,85000,74500,72500,62800,65,45600,250,96000,70,47600
Borden,120,125,83000,70500,77000,62800,30,36400,85,104000,35,47600
Borden-Carleton,325,315,69000,53600,60000,48400,95,31600,210,92000,115,35600
Boston Bar 1A,,0,,0,,0,,,,,,
Botsford,550,490,56400,54400,52400,50800,175,32400,355,75000,190,32400
Botwood,1250,1230,54800,51600,50800,47600,350,28000,880,69000,375,28600
Boucherville,17290,16885,110000,105000,90000,85000,4565,52800,12440,137000,4850,54400
Bouchette,345,330,54400,59200,51200,52000,125,34800,210,78000,135,37200
Bouctouche,1095,1070,60000,50400,54000,46400,365,30000,685,85000,405,33200
Bow Island,675,635,76500,72500,69500,65000,165,37200,485,90000,185,41600
Bowden,585,525,69500,71000,61600,63600,210,38800,345,91000,240,43200
Bowen Island,1725,1495,111000,97000,95000,83000,400,52800,1275,137000,445,55600
Bowman,335,310,63600,52800,56000,47200,110,33600,215,81000,120,35200
Boyer 164,,,,,,,,,,,,
Boyle,365,355,69500,80000,63600,68500,130,40400,220,90000,150,45600
Brabant Lake,,,,,,,,,,,,
Bracebridge,7230,6735,85000,75000,75500,66000,2025,43200,4985,105000,2245,46400
Bracken,,0,,0,,0,,,,,,
Brackley,235,225,87000,90000,76500,74500,45,41600,180,100000,60,46800
Bradford West Gwillimbury,13415,11590,114000,101000,98000,87000,1835,46400,11285,125000,2130,51600
Bradwell,,,,,,,,,,,,
Brampton,182470,168015,111000,94000,98000,83000,22140,45200,151520,122000,30950,55600
Branch,,,,,,,,,,,,
Brandon,21200,20285,76000,71500,66000,61600,6595,41200,13220,100000,7980,45200
Brant,14330,12965,106000,97000,92000,84000,2720,45200,11335,124000,3000,48000
Brantford,41675,39560,79500,68000,71000,60800,11660,38800,28350,100000,13325,42400
Bratt's Lake No. 129,130,125,103000,103000,91000,88000,30,58400,100,113000,35,68500
Brazeau County,2860,2930,93000,110000,81000,92000,610,44000,2165,110000,695,48400
Breadalbane,,,,,,,,,,,,
Bredenbury,160,160,70500,79500,63600,68500,50,39200,110,93000,50,40400
Brenda-Waskada,275,280,66500,75500,59200,62400,80,35200,195,82000,85,38400
Brent's Cove,,,,,,,,,,,,
Brethour,,0,,0,,0,,,,,,
Breton,260,250,55600,57200,51200,50800,100,28200,155,76500,105,28400
Bridge River 1,,,,,,,,,,,,
Bridgewater,4260,4080,57200,50800,51600,46000,1655,31000,2415,78500,1845,33600
Briercrest,,,,,,,,,,,,
Brigham,960,980,76000,68000,66500,59200,230,39600,700,94000,260,41200
Bright,1350,1290,75000,70500,67000,62400,300,37200,1020,90000,325,39600
Brighton,,,,,,,,,,,,
Brighton,675,705,61200,51200,55600,48800,170,28000,485,74500,190,32400
Brighton,5015,4775,81000,74500,72500,66000,1220,41200,3685,95000,1335,45200
Brigus,325,315,62000,60400,56000,53600,100,26400,220,82000,110,26600
Bristol,545,450,67500,58400,58800,53600,205,37200,320,87000,230,40400
Britannia No. 502,740,740,118000,120000,100000,100000,130,50800,605,132000,140,54800
Broadview,260,260,55200,54000,52000,49200,105,37200,145,75500,115,38400
Brochet 197,,115,,36800,,36800,,,,,,
Brock,4785,4545,92000,79000,81000,69500,1110,38800,3545,110000,1245,43200
Brock,,,,,,,,,,,,
Brock No. 64,110,115,77500,91000,67000,77000,35,63200,80,88000,35,63200
Brockton,4030,3940,84000,73000,74000,65000,1165,40800,2790,106000,1245,42400
Brockville,10650,10270,63600,55200,57600,50400,4110,36400,6035,87000,4610,39200
Broderick,,,,,,,,,,,,
Brokenhead,2055,1970,93000,87000,80000,74500,370,46400,1630,107000,420,51200
Brokenhead 4,155,160,55600,36800,53600,36000,40,20400,100,70500,55,25400
Brokenshell No. 68,120,115,73000,78000,65000,70000,25,53600,90,83000,25,53600
Brome,150,125,67000,65000,59600,56800,40,28600,105,81000,45,32800
Bromont,5060,3955,100000,83000,82000,69500,1515,51600,3460,125000,1600,53200
Brooke-Alvinston,915,950,82000,73000,73500,64500,230,35600,675,100000,250,38400
Brooks,5140,5050,91000,91000,80000,79000,1135,46800,3640,106000,1500,55200
Brossard,35885,33255,84000,78500,72500,67000,9900,47600,25005,103000,10880,49600
Browning No. 34,150,145,97000,103000,84000,88000,35,55600,110,113000,30,55600
Brownlee,,,,,,,,,,,,
Brownsburg-Chatham,3285,3095,66000,59600,58400,52400,1080,34800,2100,85000,1185,37200
Bruce Mines,260,265,65000,55600,58400,52800,85,34400,170,77000,90,36000
"Brudenell, Lyndoch and Raglan",690,655,62000,55200,55600,50000,200,29200,475,80000,225,30600
Bruderheim,515,505,98000,112000,83000,94000,110,41200,375,112000,135,51200
Bruno,275,270,58000,62400,52800,54000,110,38800,160,78000,120,43600
Brunswick,,,,,,,,,,,,
Bryant's Cove,140,150,71500,105000,61600,90000,30,28800,115,84000,30,31200
Bryson,280,310,66500,57600,57200,52800,95,28800,185,87000,95,28800
Brébeuf,495,465,63200,53600,56000,47600,180,40400,300,83000,200,42400
Buchanan,,,,,,,,,,,,
Buchanan No. 304,150,125,55200,62000,52400,56800,45,38800,100,70500,45,38800
Buchans,305,330,48000,47600,44800,44000,110,25200,180,64000,120,26400
Buckland No. 491,1240,1235,110000,112000,94000,93000,210,47600,995,125000,240,54400
Bucktum 4,,0,,0,,0,,,,,,
Buctouche 16,,,,,,,,,,,,
Buena Vista,280,255,117000,129000,99000,107000,60,51600,215,141000,65,52000
Buffalo Narrows,375,380,84000,73500,77500,65500,90,40000,275,103000,100,48400
Buffalo No. 409,170,190,94000,92000,87000,83000,25,40800,145,113000,25,40800
Buffalo Point 36,,0,,0,,0,,,,,,
Buffalo River Dene Nation,270,235,66500,38000,65500,38000,50,34800,215,70500,55,39200
Bulkley River 19,,,,,,,,,,,,
Bulkley-Nechako A,2140,2020,98000,92000,86000,79500,475,44800,1615,116000,525,49200
Bulkley-Nechako B,710,770,93000,88000,81000,76000,170,46400,515,113000,195,49200
Bulkley-Nechako C,580,610,93000,91000,80000,76000,175,40400,385,113000,190,42400
Bulkley-Nechako D,695,665,74500,76000,67500,65000,195,36000,480,96000,225,39600
Bulkley-Nechako E,620,625,79000,71500,70500,61600,160,40000,445,94000,170,43200
Bulkley-Nechako F,1335,1380,88000,88000,76500,75000,275,42000,1025,104000,310,43200
Bulkley-Nechako G,365,365,81000,85000,72500,73500,100,47600,255,96000,110,47600
Bulyea,,,,,,,,,,,,
Burgeo,570,615,50800,54000,47200,50000,140,25600,415,66000,155,26800
Burin,1010,990,66500,72000,58000,64000,265,29000,725,86000,285,30400
Burk's Falls,465,465,54400,43600,49600,40800,200,29800,245,78000,220,35200
Burlington,120,120,76500,55200,67000,49200,15,,105,79500,15,
Burlington,73180,71375,110000,101000,94000,86000,18430,54000,53035,135000,20145,56800
Burnaby,101135,92205,83000,70000,73500,61600,29575,42800,64750,108000,36390,48400
Burns Lake,690,685,75500,74000,67500,64500,230,41600,435,99000,250,45200
Burns Lake 18,,,,,,,,,,,,
Burnstick Lake,,0,,0,,0,,,,,,
Burnt Islands,235,240,80000,86000,68000,74500,35,25200,195,87000,40,27000
Burpee and Mills,165,150,61600,60800,54800,58400,40,34800,125,66000,40,36800
Burrard Inlet 3,1135,0,100000,0,88000,0,415,60400,700,133000,435,61200
Burstall,140,120,72000,76000,59200,68500,45,38400,90,89000,50,42400
Burton,2005,1960,89000,81000,76500,69000,380,47600,1545,102000,460,51200
Burwash Landing,,,,,,,,,,,,
Bury,520,500,68500,51600,59600,47200,135,30000,370,84000,150,34000
Bushe River 207,145,130,69000,50000,69000,49200,30,52400,110,78500,35,50000
Béarn,350,325,58800,59200,51600,52400,130,41200,210,78500,140,42400
Bécancour,6035,5695,75000,66500,64500,57600,2045,40400,3855,99000,2180,42400
Bégin,380,365,66000,57600,56800,52000,120,28200,260,84000,125,28800
Béthanie,145,130,61600,59600,56000,52800,45,35200,95,76500,45,38400
Cabri,200,195,61200,65000,54000,57200,80,41200,120,84000,85,41200
Cache Creek,470,465,55200,54800,52000,50400,185,29800,265,79000,205,31400
Cacouna,855,795,73500,68000,64000,58800,280,41200,550,95000,305,43600
Cadillac,,,,,,,,,,,,
Calder,,,,,,,,,,,,
Calder No. 241,165,165,60800,54000,55200,50400,50,28000,110,69500,55,30800
Caledon,23700,21260,133000,123000,113000,104000,3140,50400,20065,146000,3635,56000
Caledonia No. 99,,,,,,,,,,,,
Calgary,502305,466725,98000,105000,85000,90000,132695,50000,342330,122000,159965,56400
Calixa-Lavallée,210,215,93000,82000,77500,71500,45,50400,165,103000,50,64000
Callander,1635,1575,101000,94000,87000,81000,360,41600,1235,117000,400,45600
Calmar,890,840,85000,102000,75500,85000,250,46000,605,110000,290,49600
Calvin,225,200,72000,52800,63600,50400,60,28600,160,89000,65,31000
Cambria No. 6,105,105,97000,97000,84000,84000,20,,85,102000,20,61200
Cambridge,290,260,67500,63200,61600,57200,75,30800,195,81000,90,38400
Cambridge,51270,48240,93000,84000,82000,73500,11870,42800,37515,112000,13755,47200
Cambridge Bay,570,540,128000,104000,110000,94000,120,104000,430,142000,140,111000
Cambridge-Narrows,345,285,68500,63600,58000,56800,110,42400,230,85000,120,43200
Campbell River,15555,14370,78000,70000,70000,62000,4590,39200,10265,98000,5290,43200
Campbell River 11,165,135,67500,60000,66000,56000,30,47600,130,84000,35,47600
Campbell's Bay,310,315,52400,51200,46800,47200,120,25200,185,81000,135,26200
Campbellton,215,210,60400,59600,56000,54800,45,28800,165,74500,55,29600
Campbellton,3255,3120,48400,45600,44800,42000,1360,27800,1750,74500,1505,30000
Campobello Island,425,380,66000,56400,58000,52000,155,31600,260,81000,160,32800
Camrose,8135,8055,76000,79500,68500,70000,2680,38000,5095,101000,3045,41600
Camrose County,3220,3215,90000,96000,80000,83000,685,43600,2470,105000,755,47600
Cana No. 214,340,340,92000,85000,81000,74500,70,46400,260,107000,80,48000
Canaan No. 225,,,,,,,,,,,,
Canal Flats,365,285,71500,72000,65000,62400,110,39600,250,92000,115,41600
Candiac,8730,7835,111000,110000,92000,89000,1970,54000,6620,136000,2110,56400
Candle Lake,590,415,90000,85000,79000,74500,180,59200,405,102000,190,61200
Caniapiscau,,0,,0,,0,,,,,,
Canim Lake 1,,,,,,,,,,,,
Canim Lake 2,,0,,0,,0,,,,,,
Canim Lake 4,,0,,0,,0,,,,,,
Canmore,6800,5735,106000,107000,92000,91000,1800,54800,4555,130000,2250,63200
Canning,510,445,71000,62800,62400,55200,160,33600,340,88000,170,34000
Canoe Creek 1,,,,,,,,,,,,
Canoe Creek 2,,0,,0,,0,,,,,,
Canoe Creek 3,,0,,0,,0,,,,,,
Canoe Lake 165,260,250,50400,37600,49600,34800,40,23400,210,59600,50,23600
Canora,985,980,56800,51600,52800,46800,410,30600,545,82000,440,32400
Canterbury,250,225,62000,58400,56800,54000,75,27400,165,81000,75,27600
Canterbury,135,135,65000,57600,57600,51600,35,30200,100,78000,35,33200
Cantley,4110,3765,131000,119000,105000,96000,610,56000,3440,144000,675,59200
Canupawakpa Dakota First Nation (Oak Lake 59),110,100,38800,22000,38800,22000,30,19000,75,50800,40,19600
Canwood,150,155,48800,44000,46000,41200,70,29400,90,70500,70,29400
Canwood No. 494,575,565,69500,65000,62400,60400,150,33200,410,85000,165,35200
Cap-Chat,1225,1125,50800,48800,46800,44800,465,30600,715,68000,510,32800
Cap-Pelé,1010,950,76000,70000,66500,62000,250,33600,705,91000,305,39600
Cap-Saint-Ignace,1355,1315,64000,60400,57600,54000,440,37600,890,87000,470,38400
Cap-Santé,1510,1440,85000,74000,72500,63600,375,46800,1110,103000,400,48000
Cape Breton,42315,41680,62400,58400,55600,52400,14055,31000,26370,84000,15950,34000
Cape Broyle,230,215,64500,67000,57200,60800,75,35600,150,87000,80,36000
Cape Dorset,365,365,90000,71000,84000,67000,90,40400,265,101000,95,41200
Cape Mudge 10,,,,,,,,,,,,
Cape St. George,380,375,45200,43200,43600,42000,115,23200,260,58800,120,25600
Capilano 5,1335,1310,58000,42400,54400,38800,530,37200,715,77000,615,40400
Caplan,920,905,61600,56800,55600,51200,315,33600,580,85000,345,35600
Caraquet,605,600,63600,56400,56400,51600,200,32800,380,78000,220,35200
Caraquet,1985,1925,65500,62000,58400,55600,705,34400,1215,92000,775,36800
Carberry,795,770,71000,71000,60800,60800,285,39200,495,96000,300,40000
Carbon,220,200,69000,71000,61600,62000,80,34800,135,91000,90,36800
Carbonear,2095,1985,56800,62800,52000,57200,680,27000,1370,80000,725,28600
Carcajou 187,,0,,0,,0,,,,,,
Carcross,170,155,66500,59600,62000,53200,75,39600,85,93000,80,42000
Carcross 4,,0,,0,,0,,,,,,
Cardigan,,,,,,,,,,,,
Cardston,1260,1175,77000,73500,73000,68500,285,34800,945,95000,315,36800
Cardston County,1145,1040,89000,84000,81000,75500,210,35200,920,101000,220,37200
Cardwell,620,570,62400,61600,56400,54800,180,32400,425,81000,200,36000
Cariboo A,2605,2610,80000,80000,72000,69500,610,40400,1900,98000,700,44400
Cariboo B,1630,1635,79500,78000,70500,67500,410,37600,1170,99000,455,41600
Cariboo C,555,555,70000,67000,63600,59600,160,32000,375,85000,175,34400
Cariboo D,1225,1230,87000,83000,77000,71000,290,44400,880,104000,340,50800
Cariboo E,1725,1695,93000,90000,82000,77000,420,45600,1260,113000,465,48000
Cariboo F,2035,1940,79500,77000,72000,67000,505,33200,1475,100000,555,35600
Cariboo G,2400,2305,68500,65000,62800,58000,620,35200,1680,83000,715,38400
Cariboo H,880,825,55200,53200,52400,48800,270,32800,575,71500,305,35600
Cariboo I,660,635,68500,63600,62000,56800,180,34800,450,84000,210,38000
Cariboo J,305,300,50000,46000,48000,42400,110,27400,185,58800,120,31200
Cariboo K,205,155,54000,65000,50400,62000,75,29000,120,73000,85,33600
Cariboo L,2285,1960,60800,58000,56800,52800,665,35200,1555,77000,730,36800
Carievale,,,,,,,,,,,,
Carignan,4275,3410,122000,108000,100000,88000,770,53600,3415,138000,860,58400
Carleton,360,335,63600,58400,56400,53600,120,28800,230,91000,135,32400
Carleton Place,5210,4280,89000,77500,78000,67500,1440,46800,3590,109000,1620,50400
Carleton-sur-Mer,2015,1920,62800,60000,55200,52400,780,36400,1185,88000,830,38000
Carling,695,495,84000,79500,72500,70500,205,50400,480,104000,215,51600
Carlow/Mayo,415,375,68000,58800,62400,54000,115,32800,290,80000,130,34400
Carlyle,620,620,91000,94000,79000,80000,190,50400,410,111000,210,54000
Carmacks,260,200,82000,67000,74500,58800,110,47600,140,106000,120,52400
Carman,1405,1410,67500,64000,58800,57200,500,39200,865,90000,540,41600
Carmangay,125,,52000,,49600,,50,30600,75,69000,50,31400
Carmanville,355,315,49600,52000,45600,47200,100,25200,260,64000,100,25200
Carmichael No. 109,,105,,93000,,83000,,,,,,
Carnduff,430,425,89000,95000,75500,77000,145,48400,275,112000,155,52800
Caroline,220,235,46800,42800,44000,41200,90,27400,115,71000,105,29000
Caron No. 162,220,215,88000,96000,78500,80000,40,48000,175,97000,45,51200
Caronport,335,320,75000,73000,70000,68000,60,36800,265,86000,75,37200
Carrot River,425,430,70500,68000,62400,60000,155,36000,265,100000,160,37200
Carrot River 29A,115,130,69000,42800,69000,42800,0,0,115,69000,0,0
Carry the Kettle 76-110,,0,,0,,0,,,,,,
Carry the Kettle 76-19,,0,,0,,0,,,,,,
Carstairs,1835,1545,99000,101000,86000,86000,375,43600,1410,113000,425,51200
Cartier,810,810,100000,94000,84000,79000,160,47200,640,116000,175,50400
"Cartwright, Labrador",205,190,72500,65500,64500,58400,65,30400,130,87000,70,34000
Cartwright-Roblin,395,390,61600,60000,54400,52800,105,30600,285,79500,110,32800
Cascades-Malignes,,0,,0,,0,,,,,,
Cascapédia--Saint-Jules,345,325,64000,59200,56000,52800,120,39600,225,83000,120,39600
Casey,125,140,95000,83000,84000,73500,30,46400,100,105000,30,51200
Casselman,1580,1435,99000,90000,85000,77500,400,48800,1135,120000,440,53200
Cassimayooks (Mayook) 5,,0,,0,,0,,,,,,
Castle Island,,0,,0,,0,,,,,,
Castlegar,3550,3500,81000,74500,73000,65000,1070,42000,2320,105000,1225,46400
Castor,380,420,65000,66000,58400,60000,155,36400,220,92000,165,37200
Cat Lake 63C,145,135,62000,44000,62000,44000,10,,125,63200,20,
Causapscal,1060,1065,52000,47600,47200,43600,420,28600,610,76500,450,29600
Cavan Monaghan,3550,3190,110000,98000,94000,85000,555,48400,2925,121000,625,50800
Cayamant,460,405,55200,48400,50000,45600,170,34400,270,73500,190,35600
Cayoosh Creek 1,,,,,,,,,,,,
Central Butte,190,185,64000,56000,56400,50800,80,32400,110,92000,80,32800
Central Coast A,,,,,,,,,,,,
Central Coast C,315,310,64500,55200,60400,52000,120,40400,190,77000,130,40400
Central Coast D,190,175,69000,68000,62000,62000,75,32000,105,97000,80,34000
Central Coast E,,,,,,,,,,,,
Central Elgin,5460,4920,103000,96000,89000,83000,1100,51600,4265,120000,1195,54000
Central Frontenac,2180,1885,70000,61200,62800,56000,625,34000,1475,89000,695,37200
Central Huron,3265,3125,80000,72500,71000,64500,900,41600,2320,96000,950,43200
Central Kings,,,,,,,,,,,,
Central Kings,155,140,63200,65500,57200,57600,40,38800,110,76000,45,39600
Central Kootenay A,1075,970,60400,53600,55200,48400,350,30000,700,74500,375,32800
Central Kootenay B,1980,1920,67000,58800,60800,53200,535,31800,1370,86000,610,36400
Central Kootenay C,635,655,66500,60400,61200,54400,160,29200,450,78000,185,33600
Central Kootenay D,715,650,55600,49200,51200,44800,265,28400,425,74000,290,30800
Central Kootenay E,1800,1735,70500,59200,63600,53200,560,36400,1140,90000,655,40400
Central Kootenay F,1760,1710,88000,79500,78000,68500,450,39200,1230,109000,530,45200
Central Kootenay G,745,745,64500,50400,58800,46800,240,31400,465,81000,275,34000
Central Kootenay H,2280,2130,58800,47600,54800,44400,730,29600,1455,79500,825,32000
Central Kootenay I,1130,1110,80000,73500,72000,64500,310,39600,770,105000,360,45600
Central Kootenay J,1460,1345,94000,84000,83000,71000,365,44000,1045,112000,410,49600
Central Kootenay K,870,830,62400,54800,57200,49600,260,31800,575,76000,295,35200
Central Manitoulin,1050,955,70000,64000,63200,58800,335,34400,695,88000,355,36000
Central Okanagan,1690,1515,99000,93000,88000,80000,315,44000,1310,113000,385,48400
Central Okanagan West,1290,900,85000,72500,75000,65500,345,42800,900,100000,395,46400
Central Prince,455,415,66000,65500,59200,56800,100,31600,350,80000,110,32400
Central Saanich,7105,6895,103000,94000,90000,81000,1760,50000,5150,127000,1960,52800
Centre Hastings,1940,1905,77500,67500,69500,60800,485,34400,1400,94000,540,37600
Centre Wellington,11975,10825,101000,92000,88000,80000,2715,46000,9000,120000,2975,48400
Centreville,255,255,56800,54800,52000,50400,110,33200,135,85000,115,34000
Centreville-Wareham-Trinity,495,490,53600,52000,50800,48400,105,25200,380,64000,120,27600
Ceylon,,,,,,,,,,,,
Chamberlain,135,145,88000,69000,76500,61600,35,37200,90,107000,40,44000
Chamberlain,,,,,,,,,,,,
Chambly,12405,11245,101000,92000,84000,76000,3235,48800,8920,123000,3480,51200
Chambord,850,770,63200,66000,55200,57200,325,40800,515,84000,335,41200
Champagne Landing 10,,0,,0,,0,,,,,,
Champion,160,165,62400,53600,58800,48000,60,27000,95,83000,70,31400
Champlain,865,810,72000,65000,61200,57600,290,42000,555,99000,310,44000
Champlain,3750,3700,83000,78500,73500,68500,950,38400,2710,101000,1035,41600
Champneuf,,,,,,,,,,,,
Chance Cove,,125,,56000,,50000,,,,,,
Chandler,3570,3445,60000,54000,54400,48800,1260,31200,2185,84000,1390,33600
Change Islands,,,,,,,,,,,,
Channel-Port aux Basques,1650,1855,62000,59200,56800,53200,500,29400,1115,82000,540,30600
Chapais,645,670,78500,72500,68500,62000,225,42400,410,102000,235,44000
Chapel Arm,205,195,60000,75500,55200,66500,50,31400,145,72000,55,34400
Chapel Island 5,140,165,51200,34800,51200,34800,30,32400,95,79500,45,36800
Chapleau,870,870,84000,78000,72500,66500,270,41600,575,109000,290,44400
Chapleau 74A,,0,,0,,0,,,,,,
Chapleau 75,,0,,0,,0,,,,,,
Chapleau Cree Fox Lake,,0,,0,,0,,,,,,
Chaplin,,,,,,,,,,,,
Chaplin No. 164,,,,,,,,,,,,
Chapple,265,230,79500,76500,73000,69000,55,39200,200,94000,60,41200
Charette,485,450,61200,51600,55600,46400,170,29600,300,83000,185,31200
Charlemagne,3145,2875,66000,60400,57600,53200,1235,40800,1805,92000,1345,42400
Charley Boy's Meadow 3,,0,,0,,0,,,,,,
Charlo,630,620,74000,69000,63600,61200,195,38400,420,92000,210,40400
Charlottetown,17185,16100,66000,58000,58000,50800,6110,36400,9505,92000,7675,42000
Charlottetown (Labrador),115,110,89000,93000,77000,84000,15,,100,96000,15,
Charlton and Dack,260,245,85000,74000,75500,67500,65,37600,190,109000,70,38000
Chartierville,165,160,56800,49600,51600,44800,65,34000,95,73000,70,38000
Chase,1175,1090,60400,54800,56400,50000,400,31200,740,79000,440,32800
Chatham,235,210,78500,75000,69500,66000,65,35600,165,96000,70,35600
Chatham-Kent,44030,43025,72000,63200,65000,57200,13355,36400,29410,92000,14620,38800
Chatsworth,2700,2555,81000,71500,73000,64000,570,35200,2070,96000,630,39200
Chauvin,145,145,69500,84000,60400,73000,50,44800,90,95000,55,47600
Chawathil 4,,,,,,,,,,,,
Chazel,115,125,73500,71000,64500,59600,35,44000,80,101000,40,46800
