"geo","n_transactions","median_price","detached_share_pct","semi_share_pct","terraced_share_pct","flat_share_pct","newbuild_share_pct"
"CITY OF PLYMOUTH","4294","215000","9.92081974848626","25.966464834653003","41.5929203539823","18.770377270610155","1.3507219375873312"
"CHICHESTER","2110","405000","34.92890995260664","22.89099526066351","19.66824644549763","14.881516587677725","11.563981042654028"
"WYRE FOREST","1678","240250","28.90345649582837","33.13468414779499","23.65911799761621","8.045292014302742","13.468414779499405"
"LUTON","2267","300000","12.615791795324217","38.95015438906043","26.643140714600793","16.144684605205118","3.3083370092633437"
"PRESTON","2880","185000","27.46527777777778","27.604166666666668","29.0625","9.86111111111111","21.354166666666668"
"SPELTHORNE","1670","432250","13.47305389221557","29.461077844311376","19.40119760479042","33.59281437125748","11.077844311377245"
"BUCKINGHAMSHIRE","8398","444250","30.423910454870207","27.268397237437487","18.14717789949988","18.040009526077636","8.75208382948321"
"TEWKESBURY","2051","325000","37.78644563627499","31.643100926377375","18.576304241833252","6.43588493417845","24.524622135543638"
"HAMMERSMITH AND FULHAM","2985","800000","0.4020100502512563","1.9765494137353434","23.182579564489114","68.8107202680067","15.879396984924623"
"CROYDON","4913","400000","10.014247913698352","18.420516995725627","30.083452065947487","36.148992468959904","1.8522287807856708"
"REDBRIDGE","2747","475000","3.89515835456862","17.76483436476156","39.934473971605385","33.49108117946851","2.3662176920276665"
"ELMBRIDGE","2377","630000","28.018510727808163","20.27766091712242","18.09002944888515","29.364745477492637","8.371897349600337"
"BARNET","4528","542500","7.508833922261484","23.233215547703182","15.901060070671377","48.34363957597173","9.849823321554771"
"EAST SUFFOLK","4359","280000","36.086258316127555","26.24455150263822","24.38632713925212","7.3411332874512505","9.956412021105757"
"LEWES","1678","385000","31.58522050059595","25.506555423122766","18.772348033373063","18.891537544696067","7.032181168057211"
"NEW FOREST","2836","375000","41.11424541607899","19.076163610719323","17.454160789844853","15.973201692524682","1.0578279266572637"
"CHORLEY","1974","200000","28.72340425531915","28.824721377912866","30.040526849037487","6.12968591691996","5.167173252279635"
"MID SUFFOLK","2230","315000","46.18834080717489","26.50224215246637","17.130044843049326","3.2286995515695067","27.219730941704036"
"WEST BERKSHIRE","2513","390000","29.526462395543174","26.900119379228013","20.01591723040191","17.4691603660963","8.117787504974135"
"DONCASTER","5224","160000","22.722052067381316","42.11332312404288","25.459418070444105","4.632465543644717","9.53292496171516"
"SOUTH HAMS","2007","380000","34.130543099152966","20.029895366218238","23.766816143497756","11.908320876930743","13.552566018933732"
"SOUTH RIBBLE","2238","200000","28.68632707774799","42.22520107238606","20.91152815013405","4.378909740840036","14.5218945487042"
"COLCHESTER","3062","315000","30.633572828216852","27.43305029392554","20.901371652514698","17.472240365774002","9.111691704768125"
"TAMWORTH","1312","237997.5","25.38109756097561","33.46036585365854","27.74390243902439","9.070121951219512","11.509146341463415"
"WORCESTER","1662","250000","22.081829121540313","30.385078219013238","27.557160048134776","15.52346570397112","0.9626955475330926"
"RUGBY","2262","287000","33.15649867374005","31.38815207780725","22.546419098143236","8.576480990274094","21.927497789566754"
"BLACKBURN WITH DARWEN","2584","159975","21.207430340557277","23.722910216718265","45.588235294117645","3.2120743034055725","14.705882352941176"
"GRAVESHAM","1314","333000","13.318112633181126","27.701674277016743","34.09436834094368","19.025875190258752","8.447488584474886"
"WESTMORLAND AND FURNESS","4361","230000","24.604448520981425","26.14079339601009","32.882366429717955","8.484292593441872","8.277917908736528"
"ASHFIELD","2329","187500","33.061399742378704","37.269214255045085","24.474023185916703","1.8892228424216402","10.43366251610133"
"MALVERN HILLS","1478","319750","42.55751014884979","29.49932341001353","13.599458728010825","7.848443843031123","21.447902571041947"
"CASTLE POINT","1374","355000","38.500727802037844","38.8646288209607","9.67976710334789","9.243085880640466","2.2561863173216885"
"EREWASH","1816","205000","22.90748898678414","43.61233480176212","24.504405286343612","3.5242290748898677","0.5506607929515418"
"DORSET","6901","340000","35.38617591653384","19.83770468048109","22.547456890305753","15.229676858426314","8.984205187653963"
"KIRKLEES","6622","198000","21.096345514950166","33.58501963153126","34.34007852612504","5.436424041075204","8.275445484747811"
