"geo","n_transactions","median_price","detached_share_pct","semi_share_pct","terraced_share_pct","flat_share_pct","newbuild_share_pct"
"SOUTHAMPTON","3216","250000","12.904228855721392","24.84452736318408","24.378109452736318","32.46268656716418","2.5808457711442787"
"TYNE AND WEAR","18426","161000","13.931401280798871","29.8599804623901","33.203082600672964","16.87832410723977","9.519157711928797"
"BRIGHTON AND HOVE","4412","400000","9.904805077062557","15.231187669990934","24.365367180417046","45.19492293744334","3.1051677243880325"
"ISLE OF ANGLESEY","968","224950","39.87603305785124","19.421487603305785","25.723140495867767","3.71900826446281","2.6859504132231407"
"ISLE OF WIGHT","2536","250000","29.652996845425868","24.40851735015773","16.246056782334385","18.84858044164038","0.8280757097791798"
"STAFFORDSHIRE","14704","236000","31.36561479869423","34.514417845484225","21.742383025027202","6.848476605005441","10.833786724700762"
"KENT","25799","335000","22.291561688437536","26.93127640606225","26.2335749447653","17.989069343773014","10.023644327299507"
"CITY OF NOTTINGHAM","3825","185100","13.38562091503268","29.281045751633986","36.31372549019608","14.457516339869281","3.0326797385620914"
"NORTH EAST LINCOLNSHIRE","3069","147000","21.21212121212121","32.681655262300424","37.82991202346041","3.5842293906810037","11.567285760834148"
"SOUTHEND-ON-SEA","2857","318000","13.370668533426672","27.301365068253414","20.40602030101505","33.881694084704236","0.49002450122506125"
"NORTH SOMERSET","4116","310000","30.12633624878523","27.235179786200195","17.71137026239067","19.897959183673468","10.44703595724004"
"MILTON KEYNES","4640","335000","29.439655172413794","24.33189655172414","23.79310344827586","18.55603448275862","21.163793103448278"
"THURROCK","2155","345000","10.440835266821345","29.698375870069604","34.94199535962877","20.88167053364269","2.0417633410672855"
"LEICESTERSHIRE","12569","275000","38.37218553584215","34.73625586761079","18.47402339088233","4.224679767682393","15.73713103667754"
"NEATH PORT TALBOT","2141","150000","19.430172816440916","35.7309668379262","35.310602522185896","3.362914525922466","2.6156001868285848"
"COUNTY DURHAM","10428","117500","20.07096279248178","26.94668200997315","45.761411584196395","2.7905638665132337","7.978519370924435"
"ESSEX","24638","360000","30.814189463430473","27.084178910625862","20.987904862407664","16.222907703547367","10.914035230132315"
"STOKE-ON-TRENT","4110","137000","14.574209245742093","35.523114355231144","37.54257907542579","5.62043795620438","7.177615571776156"
"FLINTSHIRE","2250","200000","34.84444444444444","37.6","18.133333333333333","3.911111111111111","3.911111111111111"
"DEVON","14945","310000","32.766811642689866","20.528604884576783","25.70759451321512","12.525928404148544","11.816661090665775"
"MERTHYR TYDFIL","746","130000","18.096514745308312","19.839142091152816","54.55764075067024","1.742627345844504","3.0831099195710454"
