variable,coarse_level,coarse_stat,fine_level,fine_stat,diff_type,coarse_sig,fine_sig
age_0_4_per_1000 vs age_60_64_per_1000,NUTS3(n=25),corr=-0.881,municipality(n=308),corr=-0.754,similar,yes,yes
age_0_4_per_1000 vs age_65_69_per_1000,NUTS3(n=25),corr=-0.904,municipality(n=308),corr=-0.799,similar,yes,yes
age_0_4_per_1000 vs age_70_74_per_1000,NUTS3(n=25),corr=-0.864,municipality(n=308),corr=-0.762,similar,yes,yes
age_0_4_per_1000 vs age_75_79_per_1000,NUTS3(n=25),corr=-0.854,municipality(n=308),corr=-0.79,similar,yes,yes
age_0_4_per_1000 vs age_80_84_per_1000,NUTS3(n=25),corr=-0.849,municipality(n=308),corr=-0.771,similar,yes,yes
age_0_4_per_1000 vs age_85_plus_per_1000,NUTS3(n=25),corr=-0.82,municipality(n=308),corr=-0.756,similar,yes,yes
age_0_4_per_1000 vs aging_index_65plus_per_1000_of_0to14,NUTS3(n=25),corr=-0.933,municipality(n=308),corr=-0.868,similar,yes,yes
age_0_4_per_1000 vs youth_dependency_ratio_per_1000,NUTS3(n=25),corr=0.879,municipality(n=308),corr=0.884,similar,yes,yes
age_0_4_per_1000 vs old_age_dependency_ratio_per_1000,NUTS3(n=25),corr=-0.868,municipality(n=308),corr=-0.801,similar,yes,yes
age_0_4_per_1000 vs total_dependency_ratio_per_1000,NUTS3(n=25),corr=-0.805,municipality(n=308),corr=-0.725,similar,yes,yes
age_5_9_per_1000 vs age_10_14_per_1000,NUTS3(n=25),corr=0.952,municipality(n=308),corr=0.899,similar,yes,yes
age_5_9_per_1000 vs age_15_19_per_1000,NUTS3(n=25),corr=0.762,municipality(n=308),corr=0.745,similar,yes,yes
age_5_9_per_1000 vs age_20_24_per_1000,NUTS3(n=25),corr=0.492,municipality(n=308),corr=0.549,similar,yes,yes
age_5_9_per_1000 vs age_25_29_per_1000,NUTS3(n=25),corr=0.619,municipality(n=308),corr=0.56,similar,yes,yes
age_5_9_per_1000 vs age_30_34_per_1000,NUTS3(n=25),corr=0.697,municipality(n=308),corr=0.646,similar,yes,yes
age_5_9_per_1000 vs age_35_39_per_1000,NUTS3(n=25),corr=0.763,municipality(n=308),corr=0.77,similar,yes,yes
age_5_9_per_1000 vs age_40_44_per_1000,NUTS3(n=25),corr=0.834,municipality(n=308),corr=0.797,similar,yes,yes
age_5_9_per_1000 vs age_45_49_per_1000,NUTS3(n=25),corr=0.82,municipality(n=308),corr=0.763,similar,yes,yes
age_5_9_per_1000 vs age_50_54_per_1000,NUTS3(n=25),corr=0.459,municipality(n=308),corr=0.368,similar,yes,yes
age_5_9_per_1000 vs age_55_59_per_1000,NUTS3(n=25),corr=-0.255,municipality(n=308),corr=-0.349,magnitude_change,no,yes
age_5_9_per_1000 vs age_60_64_per_1000,NUTS3(n=25),corr=-0.893,municipality(n=308),corr=-0.782,similar,yes,yes
age_5_9_per_1000 vs age_65_69_per_1000,NUTS3(n=25),corr=-0.903,municipality(n=308),corr=-0.816,similar,yes,yes
age_5_9_per_1000 vs age_70_74_per_1000,NUTS3(n=25),corr=-0.827,municipality(n=308),corr=-0.775,similar,yes,yes
age_5_9_per_1000 vs age_75_79_per_1000,NUTS3(n=25),corr=-0.805,municipality(n=308),corr=-0.795,similar,yes,yes
age_5_9_per_1000 vs age_80_84_per_1000,NUTS3(n=25),corr=-0.81,municipality(n=308),corr=-0.8,similar,yes,yes
age_5_9_per_1000 vs age_85_plus_per_1000,NUTS3(n=25),corr=-0.787,municipality(n=308),corr=-0.77,similar,yes,yes
age_5_9_per_1000 vs aging_index_65plus_per_1000_of_0to14,NUTS3(n=25),corr=-0.922,municipality(n=308),corr=-0.884,similar,yes,yes
age_5_9_per_1000 vs youth_dependency_ratio_per_1000,NUTS3(n=25),corr=0.931,municipality(n=308),corr=0.916,similar,yes,yes
age_5_9_per_1000 vs old_age_dependency_ratio_per_1000,NUTS3(n=25),corr=-0.835,municipality(n=308),corr=-0.816,similar,yes,yes
age_5_9_per_1000 vs total_dependency_ratio_per_1000,NUTS3(n=25),corr=-0.761,municipality(n=308),corr=-0.737,similar,yes,yes
age_10_14_per_1000 vs age_15_19_per_1000,NUTS3(n=25),corr=0.902,municipality(n=308),corr=0.851,similar,yes,yes
age_10_14_per_1000 vs age_20_24_per_1000,NUTS3(n=25),corr=0.651,municipality(n=308),corr=0.654,similar,yes,yes
age_10_14_per_1000 vs age_25_29_per_1000,NUTS3(n=25),corr=0.64,municipality(n=308),corr=0.571,similar,yes,yes
age_10_14_per_1000 vs age_30_34_per_1000,NUTS3(n=25),corr=0.677,municipality(n=308),corr=0.597,similar,yes,yes
age_10_14_per_1000 vs age_35_39_per_1000,NUTS3(n=25),corr=0.758,municipality(n=308),corr=0.727,similar,yes,yes
age_10_14_per_1000 vs age_40_44_per_1000,NUTS3(n=25),corr=0.848,municipality(n=308),corr=0.799,similar,yes,yes
age_10_14_per_1000 vs age_45_49_per_1000,NUTS3(n=25),corr=0.894,municipality(n=308),corr=0.814,similar,yes,yes
age_10_14_per_1000 vs age_50_54_per_1000,NUTS3(n=25),corr=0.606,municipality(n=308),corr=0.452,similar,yes,yes
age_10_14_per_1000 vs age_55_59_per_1000,NUTS3(n=25),corr=-0.073,municipality(n=308),corr=-0.281,magnitude_change,no,yes
age_10_14_per_1000 vs age_60_64_per_1000,NUTS3(n=25),corr=-0.829,municipality(n=308),corr=-0.746,similar,yes,yes
age_10_14_per_1000 vs age_65_69_per_1000,NUTS3(n=25),corr=-0.921,municipality(n=308),corr=-0.809,similar,yes,yes
age_10_14_per_1000 vs age_70_74_per_1000,NUTS3(n=25),corr=-0.904,municipality(n=308),corr=-0.792,similar,yes,yes
age_10_14_per_1000 vs age_75_79_per_1000,NUTS3(n=25),corr=-0.877,municipality(n=308),corr=-0.816,similar,yes,yes
age_10_14_per_1000 vs age_80_84_per_1000,NUTS3(n=25),corr=-0.896,municipality(n=308),corr=-0.847,similar,yes,yes
age_10_14_per_1000 vs age_85_plus_per_1000,NUTS3(n=25),corr=-0.873,municipality(n=308),corr=-0.823,similar,yes,yes
age_10_14_per_1000 vs aging_index_65plus_per_1000_of_0to14,NUTS3(n=25),corr=-0.954,municipality(n=308),corr=-0.894,similar,yes,yes
age_10_14_per_1000 vs youth_dependency_ratio_per_1000,NUTS3(n=25),corr=0.827,municipality(n=308),corr=0.856,similar,yes,yes
age_10_14_per_1000 vs old_age_dependency_ratio_per_1000,NUTS3(n=25),corr=-0.906,municipality(n=308),corr=-0.851,similar,yes,yes
age_10_14_per_1000 vs total_dependency_ratio_per_1000,NUTS3(n=25),corr=-0.854,municipality(n=308),corr=-0.786,similar,yes,yes
age_15_19_per_1000 vs age_20_24_per_1000,NUTS3(n=25),corr=0.738,municipality(n=308),corr=0.742,similar,yes,yes
age_15_19_per_1000 vs age_25_29_per_1000,NUTS3(n=25),corr=0.469,municipality(n=308),corr=0.514,similar,yes,yes
age_15_19_per_1000 vs age_30_34_per_1000,NUTS3(n=25),corr=0.445,municipality(n=308),corr=0.456,similar,yes,yes
age_15_19_per_1000 vs age_35_39_per_1000,NUTS3(n=25),corr=0.535,municipality(n=308),corr=0.567,similar,yes,yes
age_15_19_per_1000 vs age_40_44_per_1000,NUTS3(n=25),corr=0.672,municipality(n=308),corr=0.666,similar,yes,yes
age_15_19_per_1000 vs age_45_49_per_1000,NUTS3(n=25),corr=0.859,municipality(n=308),corr=0.787,similar,yes,yes
age_15_19_per_1000 vs age_50_54_per_1000,NUTS3(n=25),corr=0.8,municipality(n=308),corr=0.574,similar,yes,yes
age_15_19_per_1000 vs age_55_59_per_1000,NUTS3(n=25),corr=0.284,municipality(n=308),corr=-0.066,reversed,no,no
age_15_19_per_1000 vs age_60_64_per_1000,NUTS3(n=25),corr=-0.584,municipality(n=308),corr=-0.601,similar,yes,yes
age_15_19_per_1000 vs age_65_69_per_1000,NUTS3(n=25),corr=-0.762,municipality(n=308),corr=-0.727,similar,yes,yes
age_15_19_per_1000 vs age_70_74_per_1000,NUTS3(n=25),corr=-0.843,municipality(n=308),corr=-0.766,similar,yes,yes
age_15_19_per_1000 vs age_75_79_per_1000,NUTS3(n=25),corr=-0.815,municipality(n=308),corr=-0.789,similar,yes,yes
age_15_19_per_1000 vs age_80_84_per_1000,NUTS3(n=25),corr=-0.849,municipality(n=308),corr=-0.806,similar,yes,yes
age_15_19_per_1000 vs age_85_plus_per_1000,NUTS3(n=25),corr=-0.839,municipality(n=308),corr=-0.789,similar,yes,yes
age_15_19_per_1000 vs aging_index_65plus_per_1000_of_0to14,NUTS3(n=25),corr=-0.847,municipality(n=308),corr=-0.822,similar,yes,yes
age_15_19_per_1000 vs youth_dependency_ratio_per_1000,NUTS3(n=25),corr=0.613,municipality(n=308),corr=0.638,similar,yes,yes
age_15_19_per_1000 vs old_age_dependency_ratio_per_1000,NUTS3(n=25),corr=-0.838,municipality(n=308),corr=-0.828,similar,yes,yes
age_15_19_per_1000 vs total_dependency_ratio_per_1000,NUTS3(n=25),corr=-0.813,municipality(n=308),corr=-0.798,similar,yes,yes
age_20_24_per_1000 vs age_25_29_per_1000,NUTS3(n=25),corr=0.69,municipality(n=308),corr=0.761,similar,yes,yes
age_20_24_per_1000 vs age_30_34_per_1000,NUTS3(n=25),corr=0.55,municipality(n=308),corr=0.608,similar,yes,yes
age_20_24_per_1000 vs age_35_39_per_1000,NUTS3(n=25),corr=0.555,municipality(n=308),corr=0.576,similar,yes,yes
age_20_24_per_1000 vs age_40_44_per_1000,NUTS3(n=25),corr=0.604,municipality(n=308),corr=0.583,similar,yes,yes
age_20_24_per_1000 vs age_45_49_per_1000,NUTS3(n=25),corr=0.657,municipality(n=308),corr=0.631,similar,yes,yes
age_20_24_per_1000 vs age_50_54_per_1000,NUTS3(n=25),corr=0.615,municipality(n=308),corr=0.517,similar,yes,yes
age_20_24_per_1000 vs age_55_59_per_1000,NUTS3(n=25),corr=0.136,municipality(n=308),corr=-0.042,magnitude_change,no,no
age_20_24_per_1000 vs age_60_64_per_1000,NUTS3(n=25),corr=-0.512,municipality(n=308),corr=-0.518,similar,yes,yes
age_20_24_per_1000 vs age_65_69_per_1000,NUTS3(n=25),corr=-0.663,municipality(n=308),corr=-0.682,similar,yes,yes
age_20_24_per_1000 vs age_70_74_per_1000,NUTS3(n=25),corr=-0.793,municipality(n=308),corr=-0.759,similar,yes,yes
age_20_24_per_1000 vs age_75_79_per_1000,NUTS3(n=25),corr=-0.774,municipality(n=308),corr=-0.794,similar,yes,yes
age_20_24_per_1000 vs age_80_84_per_1000,NUTS3(n=25),corr=-0.764,municipality(n=308),corr=-0.777,similar,yes,yes
age_20_24_per_1000 vs age_85_plus_per_1000,NUTS3(n=25),corr=-0.758,municipality(n=308),corr=-0.75,similar,yes,yes
age_20_24_per_1000 vs aging_index_65plus_per_1000_of_0to14,NUTS3(n=25),corr=-0.696,municipality(n=308),corr=-0.734,similar,yes,yes
age_20_24_per_1000 vs youth_dependency_ratio_per_1000,NUTS3(n=25),corr=0.249,municipality(n=308),corr=0.373,magnitude_change,no,yes
age_20_24_per_1000 vs old_age_dependency_ratio_per_1000,NUTS3(n=25),corr=-0.774,municipality(n=308),corr=-0.809,similar,yes,yes
age_20_24_per_1000 vs total_dependency_ratio_per_1000,NUTS3(n=25),corr=-0.8,municipality(n=308),corr=-0.824,similar,yes,yes
age_25_29_per_1000 vs age_30_34_per_1000,NUTS3(n=25),corr=0.965,municipality(n=308),corr=0.873,similar,yes,yes
age_25_29_per_1000 vs age_35_39_per_1000,NUTS3(n=25),corr=0.932,municipality(n=308),corr=0.744,similar,yes,yes
age_25_29_per_1000 vs age_40_44_per_1000,NUTS3(n=25),corr=0.852,municipality(n=308),corr=0.648,similar,yes,yes
age_25_29_per_1000 vs age_45_49_per_1000,NUTS3(n=25),corr=0.651,municipality(n=308),corr=0.554,similar,yes,yes
age_25_29_per_1000 vs age_50_54_per_1000,NUTS3(n=25),corr=0.187,municipality(n=308),corr=0.311,magnitude_change,no,yes
age_25_29_per_1000 vs age_55_59_per_1000,NUTS3(n=25),corr=-0.355,municipality(n=308),corr=-0.255,similar,no,yes
age_25_29_per_1000 vs age_60_64_per_1000,NUTS3(n=25),corr=-0.739,municipality(n=308),corr=-0.605,similar,yes,yes
age_25_29_per_1000 vs age_65_69_per_1000,NUTS3(n=25),corr=-0.799,municipality(n=308),corr=-0.707,similar,yes,yes
age_25_29_per_1000 vs age_70_74_per_1000,NUTS3(n=25),corr=-0.805,municipality(n=308),corr=-0.728,similar,yes,yes
age_25_29_per_1000 vs age_75_79_per_1000,NUTS3(n=25),corr=-0.825,municipality(n=308),corr=-0.766,similar,yes,yes
age_25_29_per_1000 vs age_80_84_per_1000,NUTS3(n=25),corr=-0.799,municipality(n=308),corr=-0.769,similar,yes,yes
age_25_29_per_1000 vs age_85_plus_per_1000,NUTS3(n=25),corr=-0.794,municipality(n=308),corr=-0.735,similar,yes,yes
age_25_29_per_1000 vs aging_index_65plus_per_1000_of_0to14,NUTS3(n=25),corr=-0.772,municipality(n=308),corr=-0.718,similar,yes,yes
age_25_29_per_1000 vs youth_dependency_ratio_per_1000,NUTS3(n=25),corr=0.348,municipality(n=308),corr=0.38,similar,no,yes
age_25_29_per_1000 vs old_age_dependency_ratio_per_1000,NUTS3(n=25),corr=-0.835,municipality(n=308),corr=-0.784,similar,yes,yes
age_25_29_per_1000 vs total_dependency_ratio_per_1000,NUTS3(n=25),corr=-0.85,municipality(n=308),corr=-0.796,similar,yes,yes
age_30_34_per_1000 vs age_35_39_per_1000,NUTS3(n=25),corr=0.969,municipality(n=308),corr=0.85,similar,yes,yes
age_30_34_per_1000 vs age_40_44_per_1000,NUTS3(n=25),corr=0.894,municipality(n=308),corr=0.729,similar,yes,yes
age_30_34_per_1000 vs age_45_49_per_1000,NUTS3(n=25),corr=0.651,municipality(n=308),corr=0.548,similar,yes,yes
age_30_34_per_1000 vs age_50_54_per_1000,NUTS3(n=25),corr=0.126,municipality(n=308),corr=0.26,magnitude_change,no,yes
age_30_34_per_1000 vs age_55_59_per_1000,NUTS3(n=25),corr=-0.418,municipality(n=308),corr=-0.276,magnitude_change,yes,yes
age_30_34_per_1000 vs age_60_64_per_1000,NUTS3(n=25),corr=-0.78,municipality(n=308),corr=-0.659,similar,yes,yes
age_30_34_per_1000 vs age_65_69_per_1000,NUTS3(n=25),corr=-0.817,municipality(n=308),corr=-0.728,similar,yes,yes
age_30_34_per_1000 vs age_70_74_per_1000,NUTS3(n=25),corr=-0.793,municipality(n=308),corr=-0.745,similar,yes,yes
age_30_34_per_1000 vs age_75_79_per_1000,NUTS3(n=25),corr=-0.819,municipality(n=308),corr=-0.771,similar,yes,yes
age_30_34_per_1000 vs age_80_84_per_1000,NUTS3(n=25),corr=-0.798,municipality(n=308),corr=-0.772,similar,yes,yes
age_30_34_per_1000 vs age_85_plus_per_1000,NUTS3(n=25),corr=-0.783,municipality(n=308),corr=-0.733,similar,yes,yes
age_30_34_per_1000 vs aging_index_65plus_per_1000_of_0to14,NUTS3(n=25),corr=-0.789,municipality(n=308),corr=-0.737,similar,yes,yes
