variable,coarse_level,coarse_stat,fine_level,fine_stat,diff_type,coarse_sig,fine_sig
avg_public_transfer_income vs entrepreneurial_income_recipients_per1000,province(n=11),corr=0.766,kommune(n=98),corr=0.466,magnitude_change,yes,yes
avg_public_transfer_income vs unemployment_benefit_recipients_per1000,province(n=11),corr=-0.37,kommune(n=98),corr=0.063,reversed,no,no
avg_public_transfer_income vs cash_benefit_recipients_per1000,province(n=11),corr=0.034,kommune(n=98),corr=0.281,magnitude_change,no,yes
avg_public_transfer_income vs educational_grant_recipients_per1000,province(n=11),corr=-0.666,kommune(n=98),corr=-0.501,similar,yes,yes
avg_public_transfer_income vs child_benefit_recipients_per1000,province(n=11),corr=-0.678,kommune(n=98),corr=-0.836,similar,yes,yes
avg_public_transfer_income vs disability_oldage_pension_recipients_per1000,province(n=11),corr=0.922,kommune(n=98),corr=0.881,similar,yes,yes
avg_public_transfer_income vs public_servants_pension_recipients_per1000,province(n=11),corr=0.485,kommune(n=98),corr=0.176,magnitude_change,no,no
avg_public_transfer_income vs private_pension_recipients_per1000,province(n=11),corr=0.794,kommune(n=98),corr=0.603,similar,yes,yes
avg_public_transfer_income vs capital_income_recipients_per1000,province(n=11),corr=-0.329,kommune(n=98),corr=-0.548,magnitude_change,no,yes
avg_public_transfer_income vs land_tax_homeowner_recipients_per1000,province(n=11),corr=0.671,kommune(n=98),corr=0.213,magnitude_change,yes,yes
avg_unemployment_benefits vs avg_cash_benefits,province(n=11),corr=0.509,kommune(n=98),corr=0.443,similar,no,yes
avg_unemployment_benefits vs avg_educational_grants,province(n=11),corr=0.968,kommune(n=98),corr=0.586,magnitude_change,yes,yes
avg_unemployment_benefits vs avg_child_benefits,province(n=11),corr=-0.166,kommune(n=98),corr=0.075,reversed,no,no
avg_unemployment_benefits vs avg_public_pension,province(n=11),corr=-0.718,kommune(n=98),corr=-0.332,magnitude_change,yes,yes
avg_unemployment_benefits vs avg_disability_oldage_pension,province(n=11),corr=-0.721,kommune(n=98),corr=-0.333,magnitude_change,yes,yes
avg_unemployment_benefits vs avg_private_pension,province(n=11),corr=-0.766,kommune(n=98),corr=-0.463,magnitude_change,yes,yes
avg_unemployment_benefits vs avg_capital_income,province(n=11),corr=-0.092,kommune(n=98),corr=-0.225,magnitude_change,no,yes
avg_unemployment_benefits vs avg_interest_received,province(n=11),corr=-0.049,kommune(n=98),corr=-0.264,magnitude_change,no,yes
avg_unemployment_benefits vs avg_income_tax,province(n=11),corr=0.012,kommune(n=98),corr=-0.223,magnitude_change,no,yes
avg_unemployment_benefits vs avg_taxable_income,province(n=11),corr=0.115,kommune(n=98),corr=-0.198,reversed,no,no
avg_unemployment_benefits vs entrepreneurial_income_recipients_per1000,province(n=11),corr=-0.635,kommune(n=98),corr=-0.404,magnitude_change,yes,yes
