geo_name,avg_net_income_per_person,avg_household_net_income,avg_income_per_consumption_unit,median_income_per_consumption_unit,avg_gross_income_per_person,avg_household_income
San Miguel de Salinas,10489.0,25715.0,15293.0,13650.0,12325.0,30217.0
Santa Pola,12366.0,29628.0,17907.0,15750.0,14814.0,35494.0
San Vicente del Raspeig/Sant Vicent del Raspeig,13070.0,35712.0,19794.0,17850.0,15668.0,42811.0
Sax,11917.0,29510.0,17550.0,15750.0,14069.0,34838.0
Sella,14295.0,30403.0,19925.0,19950.0,16989.0,36133.0
Senija,10655.0,29842.0,16636.0,16450.0,13188.0,36936.0
Tàrbena,11154.0,25018.0,15608.0,14350.0,12815.0,28742.0
Teulada,12083.0,31407.0,17688.0,14350.0,14878.0,38674.0
Tibi,15460.0,33721.0,21650.0,19950.0,18818.0,41045.0
Tollos,,,,,,
Tormos,16312.0,38601.0,24407.0,17150.0,19688.0,46591.0
"Torremanzanas/Torre de les Maçanes, la",13326.0,30697.0,19026.0,17150.0,15846.0,36503.0
Torrevieja,9868.0,24186.0,14207.0,12250.0,11488.0,28157.0
"Vall d'Alcalà, la",15258.0,29274.0,20941.0,16450.0,18390.0,35284.0
"Vall d'Ebo, la",14570.0,31568.0,19960.0,19950.0,17052.0,36946.0
Vall de Gallinera,13268.0,28963.0,18561.0,15750.0,15767.0,34418.0
"Vall de Laguar, la",11814.0,27230.0,16974.0,17150.0,13783.0,31768.0
"Verger, el",11735.0,29752.0,17280.0,16450.0,13705.0,34748.0
"Villajoyosa/Vila Joiosa, la",12658.0,30887.0,18341.0,16450.0,14962.0,36509.0
Villena,11956.0,30301.0,17696.0,16450.0,14063.0,35643.0
"Poblets, els",14071.0,31207.0,19953.0,17850.0,16952.0,37597.0
Pilar de la Horadada,11455.0,30407.0,17106.0,15050.0,13669.0,36283.0
"Montesinos, Los",10852.0,27938.0,16097.0,15050.0,12642.0,32545.0
San Isidro,10641.0,28006.0,15904.0,15050.0,12324.0,32435.0
Abla,12411.0,26577.0,17336.0,15750.0,14168.0,30339.0
Abrucena,11944.0,23110.0,15977.0,14350.0,13516.0,26150.0
Adra,10156.0,27911.0,15441.0,13650.0,11687.0,32121.0
Albánchez,12035.0,23696.0,16166.0,14350.0,13816.0,27203.0
Alboloduy,11557.0,24241.0,16102.0,15050.0,13019.0,27307.0
Albox,10742.0,29714.0,16300.0,14350.0,12616.0,34896.0
Alcolea,11126.0,21610.0,14871.0,13650.0,12518.0,24313.0
Alcóntar,13927.0,29722.0,19314.0,15750.0,16556.0,35334.0
Alcudia de Monteagud,13871.0,26901.0,18282.0,17850.0,16087.0,31200.0
Alhabia,10670.0,22488.0,14799.0,14350.0,12062.0,25421.0
Alhama de Almería,10774.0,26834.0,15946.0,15050.0,12300.0,30633.0
Alicún,12391.0,25874.0,17327.0,14350.0,14660.0,30614.0
Almería,13372.0,35200.0,20000.0,17150.0,16245.0,42763.0
Almócita,13201.0,26660.0,18523.0,16450.0,15501.0,31306.0
Alsodux,14298.0,26180.0,18658.0,18550.0,16871.0,30890.0
Antas,11183.0,29762.0,16889.0,15050.0,13075.0,34797.0
Arboleas,10744.0,23953.0,15125.0,14350.0,12246.0,27302.0
Armuña de Almanzora,13927.0,28748.0,18954.0,17150.0,16160.0,33357.0
Bacares,14175.0,25885.0,18546.0,16450.0,16168.0,29524.0
Bayárcal,11724.0,24760.0,16220.0,15050.0,13267.0,28019.0
Bayarque,13028.0,26181.0,17080.0,15050.0,15496.0,31141.0
Bédar,11634.0,22557.0,15764.0,14350.0,13435.0,26051.0
Beires,13838.0,26598.0,18578.0,17150.0,15872.0,30507.0
Benahadux,11026.0,30620.0,16947.0,15750.0,12829.0,35629.0
Benitagla,,,,,,
Benizalón,13067.0,21628.0,16605.0,15400.0,14890.0,24645.0
Bentarique,11022.0,20666.0,14453.0,13650.0,12270.0,23006.0
Berja,10038.0,27064.0,15132.0,13650.0,11475.0,30940.0
Canjáyar,11692.0,22845.0,15836.0,14350.0,13057.0,25512.0
Cantoria,11024.0,26682.0,16057.0,15050.0,12723.0,30793.0
Carboneras,12636.0,32632.0,18857.0,16450.0,15087.0,38963.0
Castro de Filabres,15716.0,27503.0,20257.0,19950.0,18246.0,31930.0
Cóbdar,13957.0,30842.0,19525.0,17150.0,16117.0,35618.0
Cuevas del Almanzora,10538.0,27991.0,15844.0,14350.0,12162.0,32303.0
Chercos,11047.0,25177.0,15676.0,15050.0,12435.0,28341.0
Chirivel,11864.0,25213.0,16597.0,15050.0,13605.0,28913.0
Dalías,10750.0,27775.0,16192.0,15050.0,12434.0,32125.0
Darrical,,,,,,
Enix,12622.0,25471.0,17186.0,15050.0,14787.0,29841.0
