region_name,num_persons_fiscal_households,num_households,median_living_standard_eur,d1_living_standard_eur,d9_living_standard_eur,interdecile_ratio_d9_d1,poverty_rate_pct_60med,share_taxed_households_pct,share_activity_income_pct,share_wages_pct,share_pensions_pct,share_social_benefits_pct,share_direct_taxes_pct
Niévroz,1585,568,28000,,,,,,,,,,
Nivollet-Montgriffon,129,63,23550,,,,,,,,,,
Oncieu,,,,,,,,,,,,,
Ordonnaz,145,74,23420,,,,,,,,,,
Ornex,3901,1636,37070,9840,86820,8.8,16,49,88.1,83.9,17.4,1.7,-16.3
Outriaz,256,103,25470,,,,,,,,,,
Oyonnax,21446,9011,18340,10080,32340,3.2,28,40,67.5,60.6,28,8.8,-13.3
Ozan,735,288,23270,,,,,,,,,,
Parcieux,1312,496,29480,,,,,,,,,,
Parves et Nattages,986,404,26600,,,,,,,,,,
Péron,2345,955,39700,16290,76350,4.7,,52,94.4,89.3,14.7,0.9,-15.7
Péronnas,6163,2786,24100,13880,40310,2.9,10,58,65.8,60.6,36.8,4.5,-15.4
Pérouges,1337,587,26770,,,,,,,,,,
Perrex,836,342,24000,,,,,,,,,,
Peyriat,147,62,24740,,,,,,,,,,
Peyrieu,824,347,23600,,,,,,,,,,
Peyzieux-sur-Saône,621,227,24570,,,,,,,,,,
Pirajoux,371,158,22920,,,,,,,,,,
Pizay,943,341,27060,,,,,,,,,,
Plagne,142,62,29270,,,,,,,,,,
Le Plantay,505,200,25540,,,,,,,,,,
Polliat,2624,1140,25060,16180,38880,2.4,,60,71.3,62.8,32,3.1,-15.5
Pollieu,157,74,24270,,,,,,,,,,
Poncin,1746,807,22280,,,,,,,,,,
Pont-d'Ain,2836,1191,22810,12960,35590,2.7,13,52,79.5,71.5,24,5.5,-14.6
Pont-de-Vaux,2042,1095,21070,12790,33340,2.6,15,44,63.9,56.9,33.9,6.4,-12.9
Pont-de-Veyle,1347,725,21330,,,,,,,,,,
Port,816,362,22270,,,,,,,,,,
Pougny,671,295,41270,,,,,,,,,,
Pouillat,,,,,,,,,,,,,
Prémeyzel,117,48,24070,,,,,,,,,,
Prémillieu,,,,,,,,,,,,,
Prévessin-Moëns,7535,3084,44430,11880,102330,8.6,13,49,93,87.9,16.1,1,-17.3
Priay,1782,739,25110,,,,,,,,,,
Ramasse,336,131,24270,,,,,,,,,,
Rancé,773,260,29400,,,,,,,,,,
Relevant,461,186,25090,,,,,,,,,,
Replonges,3985,1629,24890,15300,38900,2.5,6,60,73.3,68.4,28.1,3.5,-15.9
Revonnas,889,333,27570,,,,,,,,,,
Reyrieux,4893,1858,29130,17420,48590,2.8,5,70,82,74.5,22.4,2.7,-19.5
Reyssouze,969,417,23300,,,,,,,,,,
Rignieux-le-Franc,1132,430,26270,,,,,,,,,,
Romans,499,204,25220,,,,,,,,,,
Rossillon,142,75,20680,,,,,,,,,,
Saint-Alban,168,76,24030,,,,,,,,,,
Saint-André-de-Bâgé,844,328,25800,,,,,,,,,,
Saint-André-de-Corcy,3295,1429,26550,16610,39690,2.4,,65,73.1,67.3,31.2,2.9,-15.9
Saint-André-d'Huiriat,662,249,24370,,,,,,,,,,
Saint-André-le-Bouchoux,382,139,25930,,,,,,,,,,
Saint-André-sur-Vieux-Jonc,1155,492,24070,,,,,,,,,,
