"geo","n_transactions","median_price_per_sqm","median_valeur_fonciere","median_surface_bati","median_pieces","appartement_share_pct"
"83113","26","2927.5882352941176","238080","74.5","3","7.6923076923076925"
"60298","8","1400.4578754578756","131000","93","3.5","0"
"59492","10","1353.0713198521416","100000","87","4.5","0"
"76600","17","1952","200000","90","4","11.764705882352942"
"26307","16","1747.7020202020203","141650","90","3.5","43.75"
"80691","3","1852.45901639344","155000","79","2","0"
"61487","7","698.924731182796","65000","85","4","0"
"13113","45","4845.07042253521","385000","80","4","35.55555555555556"
"59459","22","1611.7914187284687","150000","89.5","4","4.545454545454546"
"64448","17","2164.04494382022","213000","102","5","5.882352941176471"
"18127","15","842.105263157895","59193","75","3","0"
"35117","11","1380.95238095238","150000","115","5","9.090909090909092"
"89163","5","464.912280701754","42000","62","3","20"
"2A104","3","4126.98412698413","445000","90","4","0"
"14514","38","3214.0546369518333","241175","75.5","3.5","31.57894736842105"
"28013","11","2300","185950","71","3","9.090909090909092"
"42038","6","1623.3716475095787","170275","92.5","4","0"
"24247","3","2202.5974025974","365000","110","4","33.333333333333336"
"63084","8","2554.7001008064517","300265","117","4.5","0"
"12130","8","932.8092243186583","96000","86","4","0"
"74042","87","3243.38461538462","200000","65","3","70.11494252873563"
"32149","11","1574.71264367816","79000","87","4","9.090909090909092"
"78238","12","3031.7982456140353","254000","78","3","8.333333333333334"
"43218","5","1839.08045977011","160000","115","4","0"
"62454","16","2131.4218657599054","256525","117","5","0"
"74275","22","6345.545580110497","386750","76","3","59.09090909090909"
"44070","29","3055.55555555556","284000","94","4","0"
"71063","8","1181.1693147964252","96250","81","2.5","12.5"
"49278","30","3002.501725327812","275500","104","5","6.666666666666667"
"31446","90","2964.262187088274","202675","76","4","61.111111111111114"
"47182","4","1884.8214285714284","193845","112","4","0"
"62265","5","1458.33333333333","173000","106","5","0"
"54253","8","1919.986123959297","187800","92.5","4","0"
"83117","12","3154.496699669967","335000","91","3","0"
"85072","9","2397.95918367347","214000","84","4","0"
"62403","9","1671.78217821782","168850","110","6","0"
"31580","5","1929.82456140351","220000","114","5","0"
"43156","3","1205.71428571429","61600","56","3","0"
"76480","3","2362.20472440945","285000","100","4","0"
"71283","4","1722.5776397515529","168500","103","4","0"
"62727","4","1551.761754118032","150000","96","4.5","0"
"80367","5","1000","36000","36","2","0"
"14645","3","4462.5","357000","80","5","0"
"31262","4","2384.835909090909","223824.5","97.5","5","0"
"44128","43","1612.5","160000","90","4","6.976744186046512"
"58157","3","266.666666666667","12000","45","2","0"
"48111","4","1448.3333333333335","71000","75","4","25"
"69005","5","1933.62962962963","285000","101","4","20"
"62128","23","1962.0253164557","149000","81","4","4.3478260869565215"
"94043","75","5806.45161290323","264700","48","2","94.66666666666667"
"14332","4","1937.900128040973","159000","80","3.5","0"
"81034","3","1500","60000","70","3","0"
"94070","22","3635.4370629370633","356500","96.5","4","36.36363636363637"
"17317","4","1351.4428412874584","127750","81","3","25"
"31263","12","2689.1267590269445","303550","113.5","5","0"
"25202","4","2307.544573643411","309842","124.5","4.5","0"
"59055","8","1111.1791666666668","70000","89.5","3.5","0"
"42239","9","1513.84615384615","140000","88","3","0"
"81317","8","1557.422619047619","100000","79","3","12.5"
"86061","19","594.405594405594","60000","84","4","0"
"2A249","44","4129.714879714879","214000","48","2","77.27272727272727"
