geo,total_dependency_ratio_per1000,old_age_dependency_ratio_per1000,youth_dependency_ratio_per1000,median_age_years,females_per1000_males,young_0_14_per1000,elderly_65plus_per1000,oldest_80plus_per1000
DE278,558.0,326.0,232.0,44.7,979.0,149.0,209.0,61.0
DE279,560.0,330.0,230.0,43.8,1002.0,148.0,211.0,66.0
DE27A,606.0,379.0,228.0,47.4,1036.0,142.0,236.0,81.0
DE27B,605.0,363.0,242.0,45.8,1011.0,151.0,226.0,69.0
DE27C,594.0,350.0,244.0,45.2,979.0,153.0,220.0,69.0
DE27D,573.0,341.0,232.0,45.4,974.0,147.0,217.0,64.0
DE27E,628.0,391.0,236.0,47.5,1035.0,145.0,241.0,78.0
DE300,494.0,287.0,207.0,41.3,1036.0,139.0,192.0,66.0
DE401,686.0,477.0,209.0,49.1,1050.0,124.0,283.0,106.0
DE402,667.0,458.0,209.0,48.1,1062.0,125.0,275.0,98.0
DE403,668.0,474.0,194.0,49.6,1047.0,116.0,284.0,96.0
DE404,539.0,316.0,223.0,42.8,1071.0,145.0,206.0,74.0
DE405,653.0,426.0,227.0,49.2,1031.0,137.0,258.0,82.0
DE406,644.0,414.0,230.0,48.7,1018.0,140.0,252.0,84.0
DE407,750.0,540.0,210.0,54.4,1020.0,120.0,309.0,99.0
DE408,612.0,386.0,226.0,48.7,1027.0,140.0,239.0,77.0
DE409,668.0,440.0,228.0,50.5,1028.0,137.0,264.0,81.0
DE40A,622.0,404.0,218.0,49.6,1031.0,135.0,249.0,82.0
DE40B,748.0,537.0,212.0,53.6,1045.0,121.0,307.0,106.0
DE40C,705.0,487.0,219.0,51.7,1029.0,128.0,285.0,94.0
DE40D,697.0,489.0,208.0,52.3,1021.0,123.0,288.0,88.0
DE40E,636.0,410.0,226.0,49.9,1022.0,138.0,251.0,79.0
DE40F,725.0,520.0,204.0,53.8,1016.0,118.0,302.0,98.0
DE40G,765.0,554.0,211.0,55.2,1040.0,120.0,314.0,98.0
DE40H,606.0,378.0,228.0,47.5,1001.0,142.0,235.0,76.0
DE40I,742.0,536.0,206.0,54.4,1032.0,118.0,308.0,98.0
DE501,537.0,317.0,220.0,42.1,1025.0,143.0,206.0,68.0
DE502,585.0,345.0,240.0,43.0,1008.0,151.0,218.0,65.0
DE600,477.0,267.0,211.0,41.0,1043.0,143.0,180.0,62.0
DE711,440.0,250.0,190.0,38.0,957.0,132.0,174.0,56.0
DE712,429.0,228.0,201.0,39.7,1037.0,141.0,159.0,49.0
DE713,452.0,233.0,219.0,39.9,990.0,151.0,161.0,49.0
DE714,519.0,302.0,217.0,42.9,1065.0,143.0,199.0,67.0
DE715,608.0,381.0,227.0,47.5,1023.0,141.0,237.0,72.0
DE716,583.0,354.0,229.0,46.4,1020.0,145.0,224.0,67.0
DE717,544.0,306.0,238.0,43.6,998.0,154.0,198.0,62.0
DE718,613.0,378.0,235.0,47.6,1062.0,146.0,235.0,84.0
DE719,589.0,359.0,230.0,46.0,1023.0,145.0,226.0,69.0
DE71A,577.0,343.0,234.0,46.1,1036.0,148.0,217.0,75.0
DE71B,644.0,423.0,221.0,49.3,1026.0,134.0,257.0,76.0
DE71C,579.0,346.0,234.0,45.0,1031.0,148.0,219.0,71.0
DE71D,615.0,398.0,217.0,49.0,1043.0,134.0,246.0,78.0
DE71E,582.0,357.0,225.0,46.5,1024.0,142.0,226.0,70.0
DE721,527.0,318.0,208.0,41.9,1033.0,137.0,209.0,62.0
DE722,601.0,373.0,228.0,46.7,1025.0,142.0,233.0,70.0
DE723,590.0,369.0,221.0,46.9,1018.0,139.0,232.0,68.0
DE724,530.0,325.0,205.0,43.5,1040.0,134.0,213.0,63.0
DE725,663.0,446.0,217.0,50.5,1013.0,131.0,268.0,76.0
DE731,518.0,310.0,208.0,41.4,1056.0,137.0,204.0,65.0
DE732,585.0,359.0,226.0,45.4,1010.0,142.0,226.0,72.0
DE733,652.0,425.0,227.0,49.0,1012.0,138.0,257.0,80.0
DE734,658.0,432.0,226.0,49.5,1040.0,136.0,261.0,83.0
DE735,617.0,400.0,218.0,48.5,1000.0,134.0,247.0,74.0
DE736,616.0,398.0,219.0,48.4,1013.0,135.0,246.0,74.0
DE737,656.0,445.0,211.0,50.6,1019.0,127.0,269.0,82.0
DE803,594.0,410.0,184.0,44.9,1051.0,115.0,257.0,96.0
DE804,672.0,459.0,213.0,47.8,1082.0,127.0,275.0,97.0
DE80J,729.0,516.0,212.0,53.1,1053.0,123.0,299.0,88.0
DE80K,698.0,466.0,232.0,51.2,1025.0,137.0,274.0,80.0
DE80L,702.0,503.0,199.0,53.2,1061.0,117.0,295.0,90.0
DE80M,662.0,446.0,216.0,50.5,1021.0,130.0,268.0,78.0
DE80N,692.0,488.0,204.0,51.5,1055.0,120.0,289.0,86.0
DE80O,687.0,465.0,222.0,51.7,1009.0,132.0,276.0,77.0
DE911,513.0,327.0,186.0,43.1,1021.0,123.0,216.0,76.0
DE912,622.0,371.0,251.0,44.7,992.0,155.0,229.0,74.0
DE913,590.0,352.0,238.0,43.8,1001.0,150.0,222.0,79.0
DE914,611.0,359.0,253.0,46.4,1013.0,157.0,223.0,65.0
DE916,664.0,474.0,191.0,51.7,1029.0,114.0,285.0,95.0
DE917,628.0,403.0,225.0,48.5,1016.0,138.0,247.0,76.0
DE918,663.0,450.0,213.0,50.8,1025.0,128.0,271.0,85.0
DE91A,606.0,360.0,246.0,46.4,1016.0,153.0,224.0,71.0
DE91B,632.0,410.0,222.0,49.4,1020.0,136.0,251.0,82.0
DE91C,584.0,386.0,199.0,46.2,1033.0,125.0,244.0,78.0
DE922,614.0,384.0,230.0,47.8,1020.0,143.0,238.0,74.0
DE923,659.0,434.0,225.0,49.4,1055.0,136.0,262.0,88.0
DE925,603.0,390.0,213.0,47.6,1046.0,133.0,243.0,80.0
DE926,675.0,457.0,218.0,50.5,1007.0,130.0,273.0,87.0
DE927,610.0,382.0,229.0,47.7,1022.0,142.0,237.0,71.0
DE928,643.0,424.0,219.0,49.8,1044.0,133.0,258.0,88.0
DE929,554.0,340.0,214.0,44.4,1039.0,138.0,219.0,75.0
DE931,638.0,403.0,235.0,47.4,1048.0,144.0,246.0,77.0
