geo,gdp_per_capita_eur,total_dependency_ratio_per1000,old_age_dependency_ratio_per1000,youth_dependency_ratio_per1000,median_age_years,females_per1000_males,young_0_14_per1000,elderly_65plus_per1000,oldest_80plus_per1000
DEE0C,29741.02,714.0,512.0,202.0,53.2,1047.0,118.0,299.0,97.0
DEE0D,34558.07,699.0,487.0,212.0,52.8,1032.0,125.0,287.0,85.0
DEE0E,31401.8,750.0,542.0,208.0,54.2,1034.0,119.0,309.0,100.0
DEF01,49795.09,493.0,301.0,191.0,41.1,1021.0,128.0,202.0,66.0
DEF02,55212.17,465.0,285.0,180.0,40.1,1045.0,123.0,195.0,65.0
DEF03,66190.81,559.0,368.0,192.0,45.8,1079.0,123.0,236.0,83.0
DEF04,53110.85,564.0,361.0,203.0,45.8,1008.0,130.0,231.0,78.0
DEF05,45441.93,644.0,432.0,212.0,50.2,1027.0,129.0,263.0,81.0
DEF06,27691.15,613.0,376.0,237.0,47.2,1046.0,147.0,233.0,79.0
DEF07,44587.25,628.0,417.0,210.0,49.7,1050.0,129.0,256.0,79.0
DEF08,32848.86,682.0,487.0,195.0,53.0,1081.0,116.0,290.0,94.0
DEF09,33493.24,584.0,361.0,223.0,46.9,1037.0,141.0,228.0,78.0
DEF0A,24695.84,691.0,466.0,224.0,51.6,1077.0,133.0,276.0,93.0
DEF0B,35488.76,628.0,404.0,224.0,49.1,1036.0,138.0,248.0,79.0
DEF0C,33245.06,652.0,417.0,234.0,49.2,1030.0,142.0,253.0,79.0
DEF0D,38041.65,582.0,358.0,224.0,46.7,1029.0,142.0,226.0,75.0
DEF0E,34646.1,597.0,383.0,215.0,48.8,1018.0,134.0,240.0,77.0
DEF0F,41629.22,626.0,390.0,236.0,48.1,1051.0,145.0,240.0,86.0
DEG01,47212.13,570.0,368.0,202.0,44.4,1048.0,129.0,235.0,78.0
DEG02,35405.61,731.0,511.0,220.0,50.4,1039.0,127.0,295.0,100.0
DEG03,53095.15,551.0,354.0,197.0,41.5,1040.0,127.0,228.0,88.0
DEG05,35825.94,606.0,397.0,209.0,45.3,1089.0,130.0,247.0,87.0
DEG06,29989.83,698.0,456.0,242.0,49.4,996.0,142.0,269.0,80.0
DEG07,30459.19,707.0,494.0,212.0,51.5,1027.0,124.0,290.0,96.0
DEG09,29682.53,705.0,478.0,228.0,50.8,1016.0,134.0,280.0,85.0
