geo_code,geo_name,immigrants_per1000,all_dwellings_per1000,freetime_residences_per1000,pct_aged_64plus,pct_aged_under15,pct_foreign_citizens,avg_age,dependency_ratio,births_per1000,deaths_per1000,urbanisation_pct,pct_one_person_households,pct_owner_occupied,pct_rental,pct_upper_secondary_plus,pct_tertiary,pct_no_post_basic_qual,pct_employed_of_pop,pct_unemployed_of_pop,unemployment_rate,employment_rate_20_64,pct_jobs_services,pct_jobs_secondary,pct_jobs_primary,pct_self_employed,workplace_self_sufficiency,pct_dwellings_not_permanent_use,floor_area_per_person
KU700,Ruokolahti,5.254308532997058,620.0084068936528,759.7730138713745,37.3,11.1,2.5,53.2,93.8,1.9,17.7,60.8,42.3,82.7,16.1,70.5,24.3,29.5,34.8,5.6,13.9,71.2,66,27.2,5.3,13.7,58.2,16.3,50.6
KU702,Ruovesi,13.82153249272551,701.7458777885548,637.0029097963143,39.9,10.8,2.6,53.5,102.7,5.6,15.3,49.8,47.9,74.8,22,69.6,22.6,30.4,34.3,4.6,11.8,72.7,60.3,27.4,9.8,19.7,94.3,24,49.7
KU704,Rusko,3.5736482287134868,431.3238036047234,25.947793660658796,20.9,19.7,1.9,42.5,68.3,7.2,6.7,81,23.5,91.4,7.6,78.1,33.9,21.9,47.7,2.3,4.6,86,69.6,26.4,3,12.7,65.4,5.1,48.5
KU707,Rääkkylä,8.412197686645635,798.6330178759201,580.9674027339643,47.2,6.7,2.7,58.5,116.6,1.6,24.9,25.3,48.5,78.4,19.4,71.3,17.9,28.7,29.8,7,19.1,64.2,61,17.7,19.1,20.7,75.8,28.9,53.9
KU729,Saarijärvi,3.730077992539844,635.5826833955012,203.11970159376062,35.9,12.3,1.3,51,93,4.9,16.8,57.3,47.8,74.1,24.2,69.9,21.9,30.1,33.2,6.8,17,68,65.4,23.5,10.1,16.9,91.1,17.6,49.1
KU732,Salla,13.456937799043063,688.6961722488038,424.04306220095697,41.6,7.7,3.2,55,96.9,4.5,18,48.2,47.2,73.2,23.4,70.6,19.6,29.4,35.7,5.3,12.8,70.8,74.1,12.1,13,12.9,93.1,23.6,49
KU734,Salo,14.383561643835616,582.3091976516635,125.30332681017612,29.4,12.9,6,47.9,73.4,5.6,12.6,75.9,46.1,72,26.5,70.4,27.3,29.6,40.6,4.9,10.8,75,68,26.7,4.2,13.4,88.9,11.5,47.3
KU736,Saltvik,14.517029592406477,522.0547180346175,362.92573981016193,26.7,16.3,8.5,46,75.6,10.6,12.8,50.4,39.2,81.3,15.5,68.4,23.7,31.6,45.5,1.8,3.9,83.4,69.9,20.1,6.9,12.6,56.3,12.6,51.3
KU790,Sastamala,4.592813098022539,594.5141399106953,158.62215607059323,31.7,13.1,2.4,48.9,81.1,6.1,15.1,67.5,44.4,76.4,22.1,71.8,24.8,28.2,38.8,3.8,9,74.8,65.3,27.5,5.8,15.5,86.1,14.5,48.9
KU738,Sauvo,34.29724277067922,555.1445864156019,460.99529253530596,27.1,15,6.1,47.1,72.7,7.8,12.2,44.7,36.6,83.4,14.8,71.8,28.9,28.2,42.8,3.4,7.3,79.1,65.8,22.7,10,17.4,57.7,15.9,51.6
KU739,Savitaipale,13.681592039800995,670.0870646766169,852.9228855721393,39.8,11,2.1,53.9,103.3,4.6,22.9,53.1,48.2,80.6,17.3,68.7,22.5,31.3,33.1,4.6,12.1,70.6,64.2,20.9,13.3,19.3,80.9,20.5,50.8
KU740,Savonlinna,7.5369782997833115,661.6838865684765,274.00056527337244,34.8,10.6,3,50.6,83.2,4.5,15.6,77.7,50.2,67.5,31.2,74.1,27,25.9,36.4,5.8,13.7,70.9,71.1,22.4,5.2,12.1,101.3,16.4,46.4
KU742,Savukoski,12.269938650306749,660.5316973415133,625.7668711656443,35.6,10.4,2.1,52.5,85.2,5.1,15.3,39.3,43.9,75.1,21.9,73.3,22.6,26.7,38.2,6.2,14,71.9,57.5,15.2,26.2,24.1,96,23.5,48.6
