"geo","GeboorteRelatief_25","SterfteRelatief_27","GemiddeldeHuishoudensgrootte_32","Bevolkingsdichtheid_33","GemiddeldeWOZWaardeVanWoningen_35","PercentageEengezinswoning_36","PercentageMeergezinswoning_37","PercentageBewoond_38","PercentageOnbewoond_39","Koopwoningen_40","HuurwoningenTotaal_41","BouwjaarVoor2000_45","BouwjaarVanaf2000_46","GemiddeldElektriciteitsverbruikTotaal_47","GemiddeldAardgasverbruikTotaal_55","AantalInkomensontvangers_64","GemiddeldInkomenPerInkomensontvanger_65","GemiddeldInkomenPerInwoner_66","k_40PersonenMetLaagsteInkomen_67","k_20PersonenMetHoogsteInkomen_68","Actieven1575Jaar_69","HuishoudensMetEenLaagInkomen_72","PersonenautoSPerHuishouden_91","AfstandTotHuisartsenpraktijk_94","AfstandTotGroteSupermarkt_95","AfstandTotSchool_97","Mannen_6","Vrouwen_7","k_0Tot15Jaar_8","k_15Tot25Jaar_9","k_25Tot45Jaar_10","k_45Tot65Jaar_11","k_65JaarOfOuder_12","Ongehuwd_13","Gehuwd_14","Gescheiden_15","Verweduwd_16","WestersTotaal_17","NietWestersTotaal_18","GeboorteTotaal_24","SterfteTotaal_26","HuishoudensTotaal_28","Eenpersoonshuishoudens_29","HuishoudensZonderKinderen_30","HuishoudensMetKinderen_31","Woningvoorraad_34"
"WK099541  ","10","7","2.2","4080","146","90","10","99","1","68","32","99","1","2940","1190","8500","27.5","21.7","39.9","16.3","56.5","9.4","0.9","1","0.8","0.6","508.0164910673385","492.44159413650937","177.7370590929913","113.14704535043518","268.89601465872653","283.09665597801194","155.74896930829135","486.4864864864865","379.7526339899221","98.03023362345397","35.27256069628951","107.6500229042602","202.01557489693081","10.994044892349978","7.329363261566652","444.3426477324782","150.71003206596427","126.43151626202474","167.65918460833714","429.4090700870362"
"WK099542  ","12","5","2.2","5258","121","79","21","98","2","45","54","97","3","2560","310","4700","23.5","17.9","49.9","9.5","52.8","17","0.8","0.5","0.5","0.3","497.19775820656525","502.80224179343475","203.3626901521217","144.11529223378702","282.62610088070454","273.0184147317854","93.67493995196156","568.4547638110488","293.03442754203365","116.09287429943956","20.816653322658127","109.68775020016012","329.0632506004804","12.00960768614892","4.803843074459568","450.7606084867894","180.14411529223378","90.47237790232185","180.9447558046437","433.78702962369897"
"WK099543  ","4","3","2.9","3305","278","100","0","99","1","96","4","0","100","3930","740","4100","41.6","30.6","30.3","34.9","66.1","1.7","1.4","0.8","1.6","1","519.213583556747","480.7864164432529","231.45665773011618","126.89901697944593","234.13762287756927","319.9285075960679","85.79088471849866","476.31814119749777","459.33869526362827","49.151027703306525","14.298480786416443","93.83378016085791","145.66577301161752","4.468275245755138","2.680965147453083","341.3762287756926","43.78909740840036","106.3449508489723","191.24218051831994","331.00983020554065"
"WK099551  ","21","0","2.6","617","164","91","9","95","5","75","25","0","100","3250","NaN","700","32.3","22.1","28.3","23","74.2","5.8","1.1","1.8","2.7","1.1","548.2456140350877","451.7543859649123","271.9298245614035","92.10526315789474","460.5263157894737","144.73684210526315","21.92982456140351","640.3508771929825","267.5438596491228","78.94736842105263","4.385964912280702","87.71929824561404","250","21.92982456140351","0","342.10526315789474","83.33333333333333","74.56140350877193","188.59649122807016","348.2456140350877"
"WK099552  ","0","0","2","26","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1.2","2.6","1.6","625","375","0","0","0","500","125","375","375","125","0","0","0","0","0","375","250","125","125","25"
"WK099553  ","0","0","NaN","25","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1.7","1.5","1.4","1000","0","0","1000","0","0","0","1000","0","0","0","100","700","0","0","0","0","0","0","0"
"WK099558  ","0","0","3.1","67","NaN","95","5","92","8","90","10","0","100","5460","2100","100","NaN","20.2","NaN","NaN","NaN","NaN","NaN","2.7","2.6","2","560","480","200","160","160","360","40","520","360","40","0","80","280","0","0","320","40","80","200","312"
"WK099562  ","12","6","1.8","3935","120","53","47","97","3","54","46","100","0","2330","1100","1200","27.5","22.9","40.2","13.3","55.5","16.2","0.7","1.5","1.2","1","545.1505016722408","458.19397993311037","140.46822742474916","103.67892976588628","324.41471571906357","294.314381270903","130.43478260869566","545.1505016722408","294.314381270903","127.09030100334448","33.44481605351171","113.7123745819398","207.35785953177256","13.377926421404682","6.688963210702341","558.5284280936455","311.03678929765886","107.02341137123746","140.46822742474916","537.123745819398"
"WK099563  ","13","18","1.3","485","89","0","100","98","2","0","100","86","14","1520","NaN","200","20","18.2","61","1","46.8","30.3","0.4","1.1","0.7","1","545.4545454545455","477.27272727272725","90.9090909090909","159.0909090909091","431.8181818181818","159.0909090909091","113.63636363636364","681.8181818181819","90.9090909090909","159.0909090909091","45.45454545454545","90.9090909090909","318.1818181818182","0","22.727272727272727","772.7272727272727","613.6363636363636","90.9090909090909","68.18181818181819","786.3636363636364"
"WK099566  ","7","39","1.4","2532","125","1","99","95","5","16","78","63","37","2090","600","1300","25.1","23.1","47.7","8.6","46.9","12.5","0.6","0.8","0.3","1.1","450.8474576271187","552.542372881356","54.23728813559322","54.23728813559322","233.89830508474577","196.61016949152543","450.8474576271187","349.1525423728813","294.91525423728814","176.27118644067798","176.27118644067798","111.86440677966101","179.66101694915255","6.779661016949152","37.28813559322034","667.7966101694915","450.8474576271187","159.32203389830508","57.6271186440678","684.7457627118644"
