"geo","GeboorteRelatief_25","SterfteRelatief_27","GemiddeldeHuishoudensgrootte_32","Bevolkingsdichtheid_33","GemiddeldeWOZWaardeVanWoningen_35","PercentageEengezinswoning_36","PercentageMeergezinswoning_37","PercentageBewoond_38","PercentageOnbewoond_39","Koopwoningen_40","HuurwoningenTotaal_41","BouwjaarVoor2000_45","BouwjaarVanaf2000_46","GemiddeldElektriciteitsverbruikTotaal_47","GemiddeldAardgasverbruikTotaal_55","AantalInkomensontvangers_64","GemiddeldInkomenPerInkomensontvanger_65","GemiddeldInkomenPerInwoner_66","k_40PersonenMetLaagsteInkomen_67","k_20PersonenMetHoogsteInkomen_68","Actieven1575Jaar_69","HuishoudensMetEenLaagInkomen_72","PersonenautoSPerHuishouden_91","AfstandTotHuisartsenpraktijk_94","AfstandTotGroteSupermarkt_95","AfstandTotSchool_97","Mannen_6","Vrouwen_7","k_0Tot15Jaar_8","k_15Tot25Jaar_9","k_25Tot45Jaar_10","k_45Tot65Jaar_11","k_65JaarOfOuder_12","Ongehuwd_13","Gehuwd_14","Gescheiden_15","Verweduwd_16","WestersTotaal_17","NietWestersTotaal_18","GeboorteTotaal_24","SterfteTotaal_26","HuishoudensTotaal_28","Eenpersoonshuishoudens_29","HuishoudensZonderKinderen_30","HuishoudensMetKinderen_31","Woningvoorraad_34"
"GM0109    ","7","10","2.3","119","188","87","13","96","4","69","30","90","10","3170","1690","28000","29.2","23.6","43.2","15.9","55.7","7.3","1.2","1.9","1.5","1","498.61134727654024","501.38865272345976","155.38740576999376","105.25420846794763","200.4761095051862","311.6250070849629","227.25726917190954","411.9480813920535","453.21090517485686","67.36382701354646","67.47718641954316","51.720228986000116","34.29122031400556","7.935158419769881","10.570764609193448","434.22320467040754","133.39568100663152","152.52508076857677","148.30244289519922","433.1179504619396"
"GM1706    ","8","10","2.3","271","238","91","9","96","4","74","25","90","10","3550","1650","16500","31","25.5","39.9","18.8","59.8","4.3","1.3","1.2","1.2","0.8","503.1921067904817","496.8078932095183","147.85258270458502","111.19171986844651","211.16270071580576","306.0069645966338","223.78603211452892","413.37782936738245","461.11433546140455","68.87212226736312","56.63571290384987","115.68968852776166","43.38363319791062","8.415554265815437","10.301799187463725","422.22867092280904","117.86612497581737","152.7374733991101","151.62507254788162","427.59721416134647"
"GM0611    ","7","10","2.3","235","232","85","15","96","4","69","30","88","12","3220","1350","10200","35.9","29","35.9","25.1","61.5","3.2","1.3","1","1","0.9","495.81933265609126","504.18066734390874","148.55044150972884","108.4629209971087","201.14089239665546","316.63671172931157","225.20903336719545","385.4028287879972","489.25529420958037","69.31312026256154","56.0287567398609","44.30725951394858","28.131593342189575","7.189184965226225","10.39306087364226","427.7565054309604","116.27725248105024","158.8653590685317","152.61389388137846","439.5561459717121"
"GM1684    ","8","8","2.3","483","205","80","20","97","3","63","36","84","16","3220","1400","19900","29.3","24","41.4","17","58.8","6","1.2","1.3","1","0.6","498.46128927761583","501.53871072238417","156.21963070942664","117.42792355037253","220.07612568837058","303.8548752834467","202.42144476838354","442.01490119857465","433.2685455134435","71.91448007774538","52.80207321023648","96.20991253644316","95.84548104956268","8.624878522837706","8.098477486232587","429.7457078069323","129.08973113054745","143.54551344347263","157.11046323291222","434.3618399740849"
"GM0216    ","9","7","2.3","951","216","74","26","96","4","61","38","78","22","2790","1090","21600","33.2","26.1","38","22.5","60.8","6.3","1.1","0.8","0.7","0.5","497.4519092736147","502.5480907263853","174.77749066896354","118.61182888314671","229.50760838357738","305.41200114843525","171.6910709158771","462.962962962963","411.46281940855584","79.17025552684467","46.40396210163652","88.68073499856446","136.37668676428368","9.474590869939707","7.464829170255527","427.6844674131496","136.69968418030433","125.82543784094172","165.15934539190354","431.52454780361757"
"GM0148    ","10","8","2.5","170","262","87","13","97","3","72","27","80","20","3230","1650","22100","30.7","24.5","39.6","17.6","63.5","3.8","1.4","2.1","1.6","1","506.5906661916637","493.4093338083363","176.70110438190238","119.27324545778411","208.15817598859994","295.33309583184894","200.53437833986462","433.3095831848949","473.2098325614535","39.971499821873884","53.5090844317777","31.742073387958676","19.27324545778411","10.6163163519772","8.977556109725686","399.18061987887427","103.38439615247596","137.90523690773068","157.8909868186676","407.6950480940506"
"GM1891    ","9","12","2.4","223","170","91","9","97","3","62","36","93","7","2620","1630","14500","25.6","20","46.9","11.7","55.1","7","1.2","1.2","1.4","0.8","503.43152782177174","496.56847217822826","168.93675430260797","121.31770668356035","210.11508816386865","291.25752296484006","208.372927885123","425.6678281068525","464.04814697497625","51.15616091225847","59.127864005912784","20.166825044873825","19.005384859043396","9.872241579558652","12.195121951219512","408.66856720515256","117.56942244747123","133.19607222046247","157.9030725372189","426.77647555696336"
"GM0503    ","8","7","1.8","4437","184","34","66","95","5","37","62","89","11","2470","940","78800","29.9","24.6","44.2","19.5","52.8","10.2","0.6","0.5","0.5","0.5","532.5948649155167","467.4051350844833","126.78904331186317","199.90925321312673","282.65651354790344","237.05625314408024","153.5889367830264","584.8630413982896","297.74809875617717","76.76980893855851","40.61905090697468","141.34798433631548","196.35829198765055","8.522306941142817","7.328789418135548","564.1589646975272","319.4977362622188","123.1493080557501","121.5119203795583","491.59112654244876"
"GM0010    ","8","12","2.1","188","121","78","22","92","8","62","37","91","9","2630","1520","19700","27.1","22","45","14.2","51.5","9.4","1.1","1.4","1.3","0.8","503.10434608451834","496.89565391548166","142.71980773082316","104.58642098938513","200.8411776487082","312.19707590626876","239.65551772481473","411.1355898257561","436.3709192870018","80.95333466853594","71.54015621870619","78.18946525135189","99.41918686160625","8.892449429200882","12.377328259563388","461.7264169837773","165.31143601041458","152.81393951532144","143.60104145804127","490.16623272581614"
"GM0762    ","9","9","2.3","273","245","86","14","97","3","65","33","86","14","3520","1590","25600","29.7","24.3","40.8","17.6","61.3","5.3","1.2","1.3","1.1","0.8","503.27247674819154","496.72752325180846","152.69470453762565","122.47518241317759","212.1942817774716","309.58569504900885","203.0501362227163","437.91688848526604","443.9294773431873","60.940093320389565","57.21354085115711","55.36592240002505","33.88344345974384","9.018883286881909","9.551247925343688","419.0649171703254","124.35411643127799","142.04741176839008","152.6633889706573","423.4804121128613"
