area_code,area_name,births_2024,births_2015,births_growth_2015_2024_pct,taxable_income_2024_thousand_yen,taxable_income_2015_thousand_yen,taxable_income_growth_2015_2024_pct
21383,安八町,55.0,108.0,-49.074074074074076,22610608.0,18784931.0,20.36566969556609
21401,揖斐川町,46.0,115.0,-60.0,24973630.0,26035391.0,-4.07814501422314
21403,大野町,61.0,155.0,-60.64516129032258,31085063.0,28958079.0,7.345045229001551
21404,池田町,94.0,160.0,-41.25,33640960.0,30175193.0,11.485484119355922
21421,北方町,134.0,170.0,-21.176470588235293,29534072.0,24097005.0,22.563248005301904
21501,坂祝町,48.0,62.0,-22.58064516129032,11966104.0,10677925.0,12.063945008042293
21502,富加町,49.0,40.0,22.5,8227204.0,6634793.0,24.00091457261741
21503,川辺町,39.0,68.0,-42.64705882352941,13955399.0,12492755.0,11.707937920818907
21504,七宗町,10.0,17.0,-41.17647058823529,3689611.0,4288908.0,-13.973183850061602
21505,八百津町,31.0,63.0,-50.79365079365079,13535267.0,13595070.0,-0.43988740035910073
21506,白川町,14.0,37.0,-62.16216216216216,7954349.0,8603982.0,-7.5503760933019155
21507,東白川村,7.0,12.0,-41.66666666666667,2333901.0,2222727.0,5.001693865238511
21521,御嵩町,59.0,114.0,-48.24561403508772,24942073.0,23275030.0,7.162366708012836
21604,白川村,11.0,17.0,-35.294117647058826,2656595.0,2202567.0,20.613584058963927
22100,静岡県 静岡市,,,,1247370480.0,1083673305.0,15.105767969434295
22101,葵区,1207.0,1833.0,-34.15166393889798,,,
22102,駿河区,1199.0,1775.0,-32.45070422535211,,,
22103,清水区,990.0,1532.0,-35.37859007832898,,,
22130,静岡県 浜松市,,,,1400643612.0,1203489359.0,16.381885849312276
22203,沼津市,807.0,1260.0,-35.95238095238095,319257761.0,295273495.0,8.122729065133328
22205,熱海市,63.0,123.0,-48.78048780487805,56146720.0,50358761.0,11.493449967921173
22206,三島市,505.0,786.0,-35.75063613231552,192693581.0,175645649.0,9.70586638328855
22207,富士宮市,525.0,959.0,-45.25547445255474,204408242.0,184640818.0,10.705879780060332
22208,伊東市,186.0,335.0,-44.47761194029851,85184623.0,77186149.0,10.362576840049371
22209,島田市,478.0,748.0,-36.096256684491976,147040305.0,132451857.0,11.01415135312146
22210,富士市,1204.0,1966.0,-38.758901322482195,426992215.0,376717760.0,13.345390193443496
22211,磐田市,724.0,1265.0,-42.76679841897233,278015679.0,239877122.0,15.899205677480154
22212,焼津市,680.0,1028.0,-33.85214007782101,215865762.0,193125441.0,11.774896607226388
22213,掛川市,638.0,922.0,-30.80260303687636,193308867.0,168530453.0,14.70263300128909
22214,藤枝市,689.0,1090.0,-36.788990825688074,232535907.0,205849230.0,12.964185972422632
22215,御殿場市,462.0,860.0,-46.27906976744186,155022789.0,136640298.0,13.453198850605553
22216,袋井市,507.0,852.0,-40.49295774647887,145236871.0,122155890.0,18.89469349369891
22219,下田市,67.0,114.0,-41.228070175438596,25254939.0,24357194.0,3.6857488592487297
22220,裾野市,274.0,527.0,-48.007590132827325,85481363.0,83607596.0,2.24114445295138
22221,湖西市,209.0,443.0,-52.82167042889391,100247766.0,90151891.0,11.198739025895751
22222,伊豆市,67.0,153.0,-56.209150326797385,36844450.0,36739592.0,0.28540872201302614
22223,御前崎市,95.0,242.0,-60.74380165289256,47236554.0,45609625.0,3.5670738358405707
22224,菊川市,259.0,399.0,-35.08771929824561,75371117.0,62426419.0,20.735929126416814
22225,伊豆の国市,183.0,326.0,-43.86503067484663,69711455.0,64319736.0,8.382682105536006
22226,牧之原市,130.0,315.0,-58.730158730158735,63073125.0,59028778.0,6.8514835255441
22301,東伊豆町,15.0,43.0,-65.11627906976744,12992170.0,12134874.0,7.064729308272999
22302,河津町,16.0,41.0,-60.97560975609756,7775330.0,7352264.0,5.754227541339647
22304,南伊豆町,18.0,39.0,-53.84615384615385,7479068.0,7192945.0,3.9778282747886995
22305,松崎町,8.0,29.0,-72.41379310344827,5821224.0,6330835.0,-8.04966485463608
22306,西伊豆町,5.0,19.0,-73.68421052631578,6683927.0,7575139.0,-11.764959032434916
22325,函南町,162.0,298.0,-45.63758389261745,55958259.0,50477072.0,10.85876573823458
22341,清水町,176.0,250.0,-29.599999999999998,56512444.0,48764594.0,15.888269263556259
22342,長泉町,344.0,502.0,-31.47410358565737,93175782.0,73318806.0,27.08305969958103
22344,小山町,73.0,145.0,-49.6551724137931,28823855.0,28030715.0,2.82953895396532
22424,吉田町,122.0,246.0,-50.40650406504065,47032716.0,39997938.0,17.58785165375275
22429,川根本町,11.0,17.0,-35.294117647058826,6530888.0,7604684.0,-14.12019223941455
22461,森町,53.0,114.0,-53.50877192982456,24417459.0,23877099.0,2.263088995861683
23100,愛知県 名古屋市,,,,5064590328.0,4072888298.0,24.348863937343364
23101,千種区,890.0,1342.0,-33.68107302533532,,,
23102,東区,628.0,633.0,-0.7898894154818324,,,
23103,北区,1001.0,1281.0,-21.85792349726776,,,
23104,西区,1007.0,1336.0,-24.625748502994014,,,
23105,中村区,962.0,1107.0,-13.098464317976513,,,
23106,中区,617.0,670.0,-7.91044776119403,,,
23107,昭和区,744.0,827.0,-10.036275695284159,,,
23108,瑞穂区,712.0,866.0,-17.782909930715935,,,
23109,熱田区,416.0,489.0,-14.92842535787321,,,
23110,中川区,1409.0,1997.0,-29.44416624937406,,,
23111,港区,723.0,996.0,-27.40963855421687,,,
23112,南区,715.0,937.0,-23.692636072572036,,,
23113,守山区,1209.0,1667.0,-27.474505098980206,,,
23114,緑区,1786.0,2424.0,-26.32013201320132,,,
23115,名東区,991.0,1566.0,-36.71775223499362,,,
23116,天白区,985.0,1468.0,-32.90190735694823,,,
23201,豊橋市,1975.0,3183.0,-37.95161797046811,647395386.0,568740140.0,13.829733558106167
23202,岡崎市,2394.0,3761.0,-36.346716298856684,752091019.0,645987564.0,16.424999630488244
23203,一宮市,2111.0,2998.0,-29.586390927284857,641523354.0,533701177.0,20.202724229705044
23204,瀬戸市,580.0,814.0,-28.746928746928745,218006282.0,189204153.0,15.222778434467028
23205,半田市,605.0,972.0,-37.757201646090536,220329669.0,188849267.0,16.669591839082965
23206,春日井市,1923.0,2925.0,-34.256410256410255,567841713.0,479431330.0,18.440676999561127
23207,豊川市,1160.0,1615.0,-28.173374613003094,314799259.0,263460698.0,19.486231301186336
23208,津島市,222.0,351.0,-36.75213675213676,96350645.0,87323125.0,10.338063370957006
23209,碧南市,428.0,580.0,-26.20689655172414,133790597.0,118577945.0,12.829242402539528
23210,刈谷市,1194.0,1674.0,-28.673835125448026,357162654.0,286537267.0,24.647888820688724
23211,豊田市,2268.0,3881.0,-41.56145323370266,867113499.0,765620560.0,13.256297479785548
23212,安城市,1222.0,1827.0,-33.1143951833607,390961291.0,328477695.0,19.022173179825803
23213,西尾市,908.0,1346.0,-32.5408618127786,307535282.0,273127821.0,12.597567276019092
23214,蒲郡市,412.0,563.0,-26.820603907637658,127775746.0,113302369.0,12.774116841281579
23215,犬山市,341.0,483.0,-29.39958592132505,122590936.0,106722951.0,14.868390398987374
23216,常滑市,310.0,554.0,-44.04332129963899,97433290.0,79693398.0,22.260177687491755
23217,江南市,472.0,694.0,-31.988472622478387,169379020.0,143213770.0,18.270065790461352
23219,小牧市,793.0,1254.0,-36.76236044657097,270702384.0,236716121.0,14.357392667819187
23220,稲沢市,750.0,1149.0,-34.72584856396867,232239368.0,201378271.0,15.324938905647869
23221,新城市,134.0,261.0,-48.65900383141762,62488355.0,63007082.0,-0.8232836429403286
23222,東海市,807.0,1192.0,-32.29865771812081,219779185.0,183694690.0,19.643733305519063
23223,大府市,694.0,1070.0,-35.14018691588785,197106770.0,157588610.0,25.07678695814374
23224,知多市,431.0,640.0,-32.65625,145418068.0,129836003.0,12.001343725900126
23225,知立市,575.0,714.0,-19.46778711484594,149754200.0,126445032.0,18.434229982242403
23226,尾張旭市,496.0,646.0,-23.219814241486066,159645569.0,133418113.0,19.658092451060224
23227,高浜市,304.0,428.0,-28.971962616822427,90895264.0,75232844.0,20.818593538747518
23228,岩倉市,338.0,451.0,-25.055432372505543,85053275.0,71342392.0,19.21842345852379
23229,豊明市,395.0,564.0,-29.9645390070922,127394737.0,113219732.0,12.519906865704291
23230,日進市,791.0,1058.0,-25.23629489603025,207395273.0,167458815.0,23.848525382196215
23231,田原市,220.0,488.0,-54.91803278688525,97286500.0,92254327.0,5.454674228993075
23232,愛西市,244.0,367.0,-33.5149863760218,94411816.0,84968555.0,11.113830286980871
23233,清須市,570.0,701.0,-18.687589158345222,125400374.0,100056828.0,25.32915194953012
23234,北名古屋市,647.0,884.0,-26.809954751131222,155256774.0,125872138.0,23.344829496738985
23235,弥富市,258.0,363.0,-28.92561983471074,76629818.0,64528488.0,18.753469010462478
23236,みよし市,398.0,609.0,-34.646962233169134,137192854.0,114470356.0,19.85011560547606
23237,あま市,517.0,708.0,-26.9774011299435,146856859.0,119123308.0,23.281380836066106
23238,長久手市,472.0,755.0,-37.48344370860927,152865185.0,111524544.0,37.068648314760196
23302,東郷町,250.0,386.0,-35.233160621761655,82987334.0,69740026.0,18.995272528289565
23342,豊山町,107.0,146.0,-26.71232876712329,29658435.0,22139527.0,33.961466295101964
23361,大口町,151.0,229.0,-34.06113537117904,43584321.0,35247393.0,23.652608861029808
