"area_code","area_name","A1101","A110101","A110102","A1102","A110201","A110202","A1301","A130101","A130102","A1302","A130201","A130202","A1303","A130301","A130302","A4101","A4200","A5101","A5102","A9101","A9201","E1101","E1501","E2101","E2401","E2501","E3101","E3401","E3501","E4101","E4501","I510120","I5102","I5103"
"R07504","浅川町","6036","3031","3005","5990","3018","2972","682","353","329","3272","1733","1539","2055","932","1123","23","108","109","132","21","7","1","94","1","20","256","1","18","161","0","0","0","3","2"
"R07505","古殿町","4825","2364","2461","4767","2356","2411","499","243","256","2433","1279","1154","1893","842","1051","11","108","47","112","6","1","0","0","1","14","148","1","13","129","0","0","0","3","2"
"R07521","三春町","17018","8448","8570","16923","8412","8511","1842","959","883","9177","4735","4442","5882","2678","3204","67","239","334","409","31","20","2","67","6","81","796","2","40","411","1","437","1","13","6"
"R07522","小野町","9471","4677","4794","9318","4586","4732","969","495","474","5074","2666","2408","3384","1491","1893","28","177","120","240","13","11","0","0","1","26","363","1","20","221","1","91","1","9","3"
"R07541","広野町","5412","3311","2101","5330","3253","2077","384","198","186","2958","1889","1069","1558","729","829","16","62","228","271","12","5","0","0","1","17","141","2","33","304","1","450","1","3","1"
"R07542","楢葉町","3710","2147","1563","3683","2128","1555","259","132","127","1996","1276","720","1388","672","716","23","119","272","264","26","10","0","0","1","14","153","1","12","65","0","0","0","6","1"
"R07543","富岡町","2128","1542","586","2040","1491","549","60","21","39","1382","1092","290","482","258","224","29","170","435","565","47","14","2","5","1","12","61","1","12","20","1","0","1","6","2"
"R07544","川内村","2044","1035","1009","1947","1003","944","116","60","56","883","499","384","974","441","533","5","57","78","93","2","1","0","0","0","0","0","0","0","0","0","0","0","2","0"
"R07545","大熊町","847","754","93","846","753","93","1","1","0","754","697","57","87","51","36","52","119","256","199","26","17","0","0","0","0","0","0","0","0","1","0","0","2","0"
"R07546","双葉町","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18","80","70","116","12","7","1","1","2","16","21","1","12","17","1","0","0","1","0"
"R07547","浪江町","1923","1350","573","1772","1248","524","52","26","26","1056","806","250","568","321","247","54","274","219","526","39","11","2","0","1","12","48","1","12","24","2","0","0","1","2"
"R07548","葛尾村","420","241","179","416","238","178","24","10","14","198","121","77","198","110","88","8","32","33","63","9","0","1","8","1","11","16","1","7","4","0","0","0","1","1"
"R07561","新地町","7905","3945","3960","7847","3905","3942","997","528","469","4286","2229","2057","2597","1170","1427","23","117","168","226","20","8","0","0","3","43","397","1","21","193","0","0","1","5","1"
"R07564","飯舘村","1318","662","656","1299","661","638","34","17","17","525","287","238","755","356","399","7","96","46","147","11","8","0","0","0","0","0","0","0","0","0","0","0","2","0"
"R08201","水戸市","270685","132537","138148","262174","128140","134034","33685","17307","16378","158472","79988","78484","70922","30822","40100","1820","3288","9058","9077","1112","433","23","2095","35","918","13697","19","590","7355","15","11992","24","242","165"
"R08202","日立市","174508","87126","87382","170416","85349","85067","17585","9002","8583","97706","51643","46063","56525","25302","31223","705","2517","3234","4652","488","203","12","490","24","522","6393","16","375","3999","8","4946","12","96","75"
"R08203","土浦市","142074","70935","71139","135299","67408","67891","15510","8049","7461","82307","42866","39441","40903","18096","22807","731","1870","5824","5459","623","233","11","1283","15","379","5754","9","283","3489","8","7697","6","108","82"
"R08204","古河市","139344","69735","69609","135242","67635","67607","16213","8201","8012","82127","42883","39244","39691","18018","21673","689","1807","3452","3821","444","193","7","728","23","499","6457","9","264","3200","5","2669","7","74","62"
"R08205","石岡市","73061","36167","36894","70867","35045","35822","7543","3900","3643","40001","20609","19392","23972","10784","13188","305","1095","1568","1928","207","111","5","439","15","265","2966","6","154","1587","4","1912","7","43","36"
"R08207","結城市","50645","25441","25204","48248","24029","24219","6065","3109","2956","28719","15068","13651","15388","6963","8425","208","689","1183","1364","150","67","3","187","9","207","2385","3","104","1222","3","915","2","27","26"
"R08208","龍ケ崎市","76420","37995","38425","73394","36494","36900","8264","4196","4068","44619","22884","21735","22113","10124","11989","315","965","2038","2235","197","116","4","175","11","242","3221","6","150","1843","4","1513","2","44","41"
