county_name,state_fips,county_fips,median_home_value_usd
"Wilkes County, Georgia",13,317,92500
"Wilkinson County, Georgia",13,319,87600
"Worth County, Georgia",13,321,98000
"Hawaii County, Hawaii",15,001,454900
"Honolulu County, Hawaii",15,003,832200
"Kauai County, Hawaii",15,007,742900
"Maui County, Hawaii",15,009,800100
"Ada County, Idaho",16,001,423500
"Adams County, Idaho",16,003,284300
"Bannock County, Idaho",16,005,233500
"Bear Lake County, Idaho",16,007,194700
"Benewah County, Idaho",16,009,241700
"Bingham County, Idaho",16,011,230500
"Blaine County, Idaho",16,013,558600
"Boise County, Idaho",16,015,369300
"Bonner County, Idaho",16,017,378200
"Bonneville County, Idaho",16,019,288300
"Boundary County, Idaho",16,021,318600
"Butte County, Idaho",16,023,194700
"Camas County, Idaho",16,025,225000
"Canyon County, Idaho",16,027,306200
"Caribou County, Idaho",16,029,204400
"Cassia County, Idaho",16,031,227100
"Clark County, Idaho",16,033,172500
"Clearwater County, Idaho",16,035,213000
"Custer County, Idaho",16,037,282000
"Elmore County, Idaho",16,039,235200
"Franklin County, Idaho",16,041,269100
"Fremont County, Idaho",16,043,243700
"Gem County, Idaho",16,045,324700
"Gooding County, Idaho",16,047,197800
"Idaho County, Idaho",16,049,258900
"Jefferson County, Idaho",16,051,284700
"Jerome County, Idaho",16,053,234300
"Kootenai County, Idaho",16,055,407000
"Latah County, Idaho",16,057,309300
"Lemhi County, Idaho",16,059,254800
"Lewis County, Idaho",16,061,184800
"Lincoln County, Idaho",16,063,183400
"Madison County, Idaho",16,065,324300
"Minidoka County, Idaho",16,067,198400
"Nez Perce County, Idaho",16,069,259600
"Oneida County, Idaho",16,071,226000
"Owyhee County, Idaho",16,073,247200
"Payette County, Idaho",16,075,265500
"Power County, Idaho",16,077,174200
"Shoshone County, Idaho",16,079,183200
"Teton County, Idaho",16,081,479800
"Twin Falls County, Idaho",16,083,262200
"Valley County, Idaho",16,085,471000
"Washington County, Idaho",16,087,212000
"Adams County, Illinois",17,001,151300
"Alexander County, Illinois",17,003,58600
"Bond County, Illinois",17,005,130300
"Boone County, Illinois",17,007,181700
"Brown County, Illinois",17,009,122100
"Bureau County, Illinois",17,011,120200
"Calhoun County, Illinois",17,013,160900
"Carroll County, Illinois",17,015,109900
"Cass County, Illinois",17,017,92000
"Champaign County, Illinois",17,019,192600
"Christian County, Illinois",17,021,108800
"Clark County, Illinois",17,023,112400
"Clay County, Illinois",17,025,103600
"Clinton County, Illinois",17,027,171500
"Coles County, Illinois",17,029,114000
"Cook County, Illinois",17,031,293700
"Crawford County, Illinois",17,033,108200
"Cumberland County, Illinois",17,035,116000
"DeKalb County, Illinois",17,037,218600
"De Witt County, Illinois",17,039,121100
"Douglas County, Illinois",17,041,137100
"DuPage County, Illinois",17,043,361700
"Edgar County, Illinois",17,045,94100
"Edwards County, Illinois",17,047,92700
"Effingham County, Illinois",17,049,166500
"Fayette County, Illinois",17,051,111500
"Ford County, Illinois",17,053,113400
"Franklin County, Illinois",17,055,87500
"Fulton County, Illinois",17,057,99800
"Gallatin County, Illinois",17,059,81000
"Greene County, Illinois",17,061,92400
"Grundy County, Illinois",17,063,245400
"Hamilton County, Illinois",17,065,100300
"Hancock County, Illinois",17,067,104200
"Hardin County, Illinois",17,069,90600
"Henderson County, Illinois",17,071,99800
"Henry County, Illinois",17,073,138900
"Iroquois County, Illinois",17,075,120900
"Jackson County, Illinois",17,077,123400
"Jasper County, Illinois",17,079,117900
"Jefferson County, Illinois",17,081,115000
"Jersey County, Illinois",17,083,161800
"Jo Daviess County, Illinois",17,085,179300
"Johnson County, Illinois",17,087,141200
"Kane County, Illinois",17,089,290100
"Kankakee County, Illinois",17,091,176800
"Kendall County, Illinois",17,093,288100
"Knox County, Illinois",17,095,96800
"Lake County, Illinois",17,097,313700
"LaSalle County, Illinois",17,099,147400
"Lawrence County, Illinois",17,101,93900
"Lee County, Illinois",17,103,147100
"Livingston County, Illinois",17,105,128100
"Logan County, Illinois",17,107,118200
"McDonough County, Illinois",17,109,100400
"McHenry County, Illinois",17,111,270600
"McLean County, Illinois",17,113,191300
"Macon County, Illinois",17,115,119800
"Macoupin County, Illinois",17,117,121300
"Madison County, Illinois",17,119,159400
"Marion County, Illinois",17,121,96200
"Marshall County, Illinois",17,123,124600
"Mason County, Illinois",17,125,97000
"Massac County, Illinois",17,127,115200
"Menard County, Illinois",17,129,177100
"Mercer County, Illinois",17,131,131000
"Monroe County, Illinois",17,133,254100
"Montgomery County, Illinois",17,135,102000
"Morgan County, Illinois",17,137,122000
"Moultrie County, Illinois",17,139,116400
"Ogle County, Illinois",17,141,172900
"Peoria County, Illinois",17,143,150400
"Perry County, Illinois",17,145,102000
"Piatt County, Illinois",17,147,168300
"Pike County, Illinois",17,149,97000
"Pope County, Illinois",17,151,137500
"Pulaski County, Illinois",17,153,81600
"Putnam County, Illinois",17,155,161500
"Randolph County, Illinois",17,157,129400
"Richland County, Illinois",17,159,106400
"Rock Island County, Illinois",17,161,139800
"St. Clair County, Illinois",17,163,158500
"Saline County, Illinois",17,165,87900
"Sangamon County, Illinois",17,167,162400
"Schuyler County, Illinois",17,169,100500
"Scott County, Illinois",17,171,95000
"Shelby County, Illinois",17,173,125200
"Stark County, Illinois",17,175,95900
"Stephenson County, Illinois",17,177,122000
"Tazewell County, Illinois",17,179,159100
"Union County, Illinois",17,181,129300
"Vermilion County, Illinois",17,183,91000
"Wabash County, Illinois",17,185,94100
"Warren County, Illinois",17,187,98200
"Washington County, Illinois",17,189,147100
"Wayne County, Illinois",17,191,107900
"White County, Illinois",17,193,101000
"Whiteside County, Illinois",17,195,122200
"Will County, Illinois",17,197,283600
"Williamson County, Illinois",17,199,139500
"Winnebago County, Illinois",17,201,146800
"Woodford County, Illinois",17,203,186100
"Adams County, Indiana",18,001,164500
"Allen County, Indiana",18,003,173600
"Bartholomew County, Indiana",18,005,197500
"Benton County, Indiana",18,007,122600
"Blackford County, Indiana",18,009,90200
"Boone County, Indiana",18,011,320000
"Brown County, Indiana",18,013,227600
"Carroll County, Indiana",18,015,152900
"Cass County, Indiana",18,017,110600
"Clark County, Indiana",18,019,195100
"Clay County, Indiana",18,021,130000
"Clinton County, Indiana",18,023,140100
"Crawford County, Indiana",18,025,105500
"Daviess County, Indiana",18,027,174000
"Dearborn County, Indiana",18,029,210800
"Decatur County, Indiana",18,031,174400
"DeKalb County, Indiana",18,033,157700
"Delaware County, Indiana",18,035,120500
"Dubois County, Indiana",18,037,187000
"Elkhart County, Indiana",18,039,181800
"Fayette County, Indiana",18,041,99100
"Floyd County, Indiana",18,043,214800
"Fountain County, Indiana",18,045,123400
"Franklin County, Indiana",18,047,200700
"Fulton County, Indiana",18,049,143400
"Gibson County, Indiana",18,051,159700
"Grant County, Indiana",18,053,109300
