"name","B01002_001E","B19013_001E","B19301_001E","B25064_001E","B25077_001E","B01001_002E","B01001_026E","B17001_002E","B15003_017E","B15003_022E","B15003_002E","B23025_002E","B23025_005E","B23025_004E","B25002_002E","B25002_003E","B25003_002E","B25003_003E","B08301_010E","B08301_021E","B11003_010E","B18101_004E","B27010_017E","B16001_002E","B02001_002E","B02001_003E","B02001_005E","B25024_002E","B25024_010E"
"Pennsylvania","40.8","73170","41234","1110","226200","493.54556490280237","506.45443509719763","114.12851345516987","208.63481437821306","141.9913361923221","7.741041640106156","515.0163120030105","27.617465206500658","486.7125847857698","399.8493980541385","43.12664790647744","276.6519713904035","123.197426663735","20.524192083150876","56.51353030916127","8.824479521769149","0.19308336582184227","10.294392083027695","835.1636989722545","770.6689276205293","108.38335947811444","36.429626810195046","251.57453787790604","15.949779232113306"
"Rhode Island","40.1","81370","43324","1195","343100","490.94905186200594","509.05094813799406","107.86657527987205","158.19419693854238","151.23326479323737","12.808773132282385","541.563628055746","31.634452821567283","506.33219099840073","394.9910897875257","46.455563171121774","247.61251999086133","147.37856979666438","9.529814941740918","47.657299520219325","9.220013708019192","0.05574594471098926","5.436600411240576","737.9977153301348","745.9977153301348","61.79118117432031","34.618231665524334","244.5373543522961","3.833676033813114"
"South Carolina","40","63623","36072","1065","216200","488.0694181128774","511.9305818871226","139.5846580137086","165.90559525545672","131.12439842496718","7.780467648631569","489.5485878178018","24.93043605075106","457.2940547372515","393.38583442710615","65.95070730640222","278.9678673861261","114.41796704098002","2.0874045987069176","38.811336347285014","7.5836857712313455","0.2728112391230373","12.060667930581888","873.2119974721695","650.014291964416","257.87934470857033","16.69029215886442","294.61260998493026","69.01832677069662"
"South Dakota","37.5","69457","36850","878","219500","507.3005654007112","492.6994345992888","118.54096515720926","166.3405747454349","138.50071096275363","6.111134822349165","529.7930458183484","16.344281186330647","509.35932484371176","394.43494746962403","51.03769113441801","269.92773563417205","124.507211835452","1.9475662161281844","43.031778799607345","10.242131675243895","0.21003165075892186","17.470814585855774","873.8159044502","821.7336708815265","21.929775299828606","14.32483248010315","299.10753395886076","34.920289057463314"
"Tennessee","38.9","64035","36040","1047","232100","491.20320542039804","508.79679457960196","136.28163954561185","178.00383952562274","128.45613633724508","7.907106126544895","498.307136630149","24.9616827359422","470.5550673823459","391.93015021291865","48.70394345741021","262.822779259629","129.10737095328963","2.297880403918558","44.98025064950146","8.80473822650428","0.28250496983436196","12.650041046989994","870.7802625505288","748.542268578457","162.7458269856373","18.578023655313896","302.2579310814972","37.65837465474022"
"Texas","35.2","73035","37514","1251","238000","500.10145899193054","499.89854100806946","136.45246155518066","129.70251484936298","134.01351322978064","15.811770077441901","505.5616420312015","26.194235939243878","475.5998134549738","358.73304084054416","39.81822597430896","223.83648900320628","134.89655183733788","4.867877276133487","51.72158503634776","8.500875173569423","0.26300003604239214","31.26954504721109","606.54842391133","591.3640103104494","121.48334482426803","51.67224047101046","257.84593976981154","26.574219868577263"
"Utah","31.4","86833","37023","1302","408500","507.09678912506786","492.90321087493214","83.80146348341209","116.78693858260331","142.68217183155292","6.503423311160911","518.4220519524735","17.315257982422242","499.23670956502036","323.6543294692231","30.402194524712005","228.89638221955053","94.75794724967255","8.769998498694656","69.30336082275187","7.078060873820615","0.25397335837742085","21.432428012713284","783.565670232343","823.7976082043749","11.484224569699395","23.680122686794512","240.27554586761897","10.314850833285371"
"Vermont","42.9","74014","41680","1149","272400","497.5629683015023","502.4370316984977","100.55512755197137","175.14786833505224","173.36319693825564","4.271406737328678","546.4030095555252","20.915913863588354","523.7692135641239","412.9409644991737","107.6083850044112","300.11991003640793","112.82105446276576","4.501286081737639","68.00079525827255","9.09887296991687","0.41471476322427525","3.9328006759695318","904.5301763236702","922.8273295475726","12.425910508592517","16.812256918125676","350.4696994172248","31.12845906283783"
"Virginia","38.7","87249","47210","1440","339800","494.9584967773825","505.0415032226175","97.01257265484385","137.2895228494694","158.40434315638302","9.172346119101709","529.9828593180529","22.841990693733244","492.2696486792121","381.44493061693584","38.90179976580701","255.00564611721174","126.4392844997241","14.822985326356473","69.46793853008015","7.725655402375857","0.18459017560531837","10.847803429087168","785.5871480713515","634.6574315923534","189.03738426445278","68.53582771243494","258.1390411583915","18.87747606791852"
"Washington","38","90325","48685","1592","473400","504.37579314380383","495.62420685619617","97.22744824803743","124.52011426343255","161.8558976472674","9.832674539760363","521.6587681238684","25.623690503890916","488.0083355129817","387.4947015360115","30.82129020703386","247.1535266277161","140.34117490829544","22.057608009001438","74.81047464222443","9.331019416017249","0.18963266020675681","6.775530727579417","749.0284577753227","699.075209119432","39.21116975387684","92.1691466101081","262.39580446193423","24.02520943808773"
"West Virginia","42.6","55217","31462","831","145800","499.0454369768099","500.9545630231901","162.78046389030027","235.09690920134057","95.79540504649556","6.453548782548703","438.4419791329121","26.494073789422785","410.611015149749","399.3603897896615","79.81295807452118","296.17221064302913","103.18817914663236","2.682704143467225","27.694318969618514","8.419006038594128","0.14835744327698167","6.828346533985288","925.768851295088","914.3179991600515","34.14842548691638","7.586308058095883","339.9415605529828","66.4669232618336"
"Wisconsin","39.9","72458","40130","992","231400","501.30871004507213","498.69128995492787","103.98634643788779","182.14088506744497","144.95298300207","6.557660764947651","532.0533657207052","17.86530316919319","513.5709389527055","412.348728215367","52.53591897354155","279.0809720563714","133.26775615899552","6.2829302592531135","51.07148297350891","10.475120568610544","0.13430513582839407","9.186811303664252","863.5131707436492","825.3779924544315","61.768632032488924","28.739939015267943","309.0911996474745","14.542016086695154"
"Wyoming","38.5","72495","39547","933","269900","511.8881385083635","488.1118614916365","104.05084361573826","153.6469012629579","123.39405013418603","5.000614262305577","524.0055439335973","19.82250414843346","498.1494266596762","405.1639561260985","67.71593050357397","291.3731617551637","113.79079437093483","4.517855999612409","37.89738877959057","9.518470261917987","0.27338998389075475","22.08229730641653","879.4851962784356","873.4602347347166","8.462977286137225","8.161902240586647","317.4697930022546","57.22848308356217"
"Puerto Rico","43.7","24002","15637","545","121800","474.1708027974729","525.8291972025271","418.1541152591598","188.80589124374845","147.3357939262592","15.86428479315679","382.0507507986537","50.63498087937166","330.4412504408104","372.7125989569677","104.96054555977878","253.62045140206737","119.09214755490038","3.514565231076323","15.576421090202794","10.40129178072731","0.18151915027035354","5.57667167219475","48.742170076720875","435.594316311482","87.51667745391583","1.9236751699526522","328.2452965454522","1.4078429718779775"
