"region_code","region_name","population","young_0_17_rate","working_18_64_rate","elderly_65_plus_rate","male_rate","female_rate","single_rate","married_rate","widowed_rate","divorced_rate","growth_per1000"
"1384","Kungsbacka","85792","228.890805669526","559.760816859381","211.348377471093","497.645468108915","502.354531891085","492.889779932861","381.504102946662","39.2111152555017","86.3950018649758","1.62019768743006"
"1401","Härryda","40003","248.881333899957","578.631602629803","172.48706347024","503.637227207959","496.362772792041","521.785866060045","368.422368322376","32.097592680549","77.6941729370297","3.19976001799865"
"1402","Partille","41060","240.209449585972","586.653677545056","173.136872868972","507.184607890891","492.815392109109","519.020944958597","358.54846566001","33.1709693132002","89.2596200681929","8.03701899659035"
"1407","Öckerö","12771","188.943700571608","527.444992561272","283.611306867121","498.081591104847","501.918408895153","429.880197322058","414.376321353066","60.6843630099444","95.0591183149323","-3.75851538642236"
"1415","Stenungsund","27851","219.381709812933","571.325984704319","209.292305482747","504.398405802305","495.601594197695","510.538221248788","349.07184661233","42.8350867114287","97.5548454274532","-0.394958888370256"
"1419","Tjörn","16092","186.552324136217","511.807109122545","301.640566741238","507.95426298782","492.04573701218","438.975888640318","413.373104648272","51.3298533432762","96.3211533681332","-3.35570469798658"
"1421","Orust","15352","171.508598228244","506.122980719125","322.368421052632","508.402813965607","491.597186034393","449.583116206357","386.529442417926","53.7389265242314","110.148514851485","1.23762376237624"
"1427","Sotenäs","9104","139.93848857645","500.659050966608","359.402460456942","512.961335676626","487.038664323374","414.872583479789","404.437609841828","67.0035149384886","113.686291739895","5.71177504393673"
"1430","Munkedal","10354","198.47401970253","540.370871160904","261.155109136566","518.640139076685","481.359860923315","517.770909793317","327.796020861503","52.2503380336102","102.18273131157","-14.2939926598416"
"1435","Tanum","12773","174.743599780788","512.800438424802","312.45596179441","513.035308854615","486.964691145385","477.335003523056","353.94973772802","56.3689031550928","112.346355593831","-7.20269318092852"
"1438","Dals-Ed","4606","178.245766391663","528.006947459835","293.747286148502","520.408163265306","479.591836734694","546.026921406861","300.477637863656","60.3560573165436","93.1393834129397","0"
"1439","Färgelanda","6376","190.0878293601","533.40652446675","276.505646173149","521.643663739021","478.356336260979","536.072772898369","312.264742785445","53.0112923462986","98.6511919698871","-9.09661229611041"
"1440","Ale","32576","240.790766208251","582.545432220039","176.663801571709","510.406434184676","489.593565815324","526.062131630648","353.358300589391","34.5653241650295","86.0142436149312","3.99066797642436"
"1441","Lerum","43570","254.372274500803","561.005278861602","184.622446637595","500.436079871471","499.563920128529","506.334633922424","374.61556116594","36.1487261877439","82.9010787238926","-3.12141381684645"
"1442","Vårgårda","12474","225.749559082892","561.087061087061","213.163379830046","512.666345999679","487.333654000321","520.20202020202","355.619688953022","39.8428731762065","84.335417668751","7.21500721500721"
"1443","Bollebygd","9802","226.076310956948","558.355437665782","215.56825137727","509.691899612324","490.308100387676","514.07875943685","356.967965721281","40.0938583962457","88.8594164456233","7.03937971842481"
"1444","Grästorp","5555","182.358235823582","543.294329432943","274.347434743474","508.370837083708","491.629162916292","514.311431143114","341.854185418542","51.6651665166517","92.1692169216922","-1.44014401440144"
"1445","Essunga","5560","205.575539568345","523.381294964029","271.043165467626","507.73381294964","492.26618705036","518.345323741007","338.309352517986","51.2589928057554","92.0863309352518","-17.2661870503597"
"1446","Karlsborg","7023","170.155204328634","520.432863448669","309.411932222697","511.319948739855","488.680051260145","487.825715506194","364.374199060231","56.9557169300869","90.8443685034885","-5.41079310835825"
"1447","Gullspång","5031","164.579606440072","489.564698867024","345.855694692904","510.435301132976","489.564698867024","464.321208507255","361.160803021268","63.2081097197376","111.309878751739","-17.4915523752733"
"1452","Tranemo","11839","202.213024748712","539.150266069769","258.636709181519","519.300616606132","480.699383393868","496.241236590928","363.206351887828","50.848889264296","89.7035222569474","-3.71653011234057"
"1460","Bengtsfors","9076","169.788453063023","515.755839576906","314.455707360071","514.213309828118","485.786690171882","512.340237990304","328.779197884531","62.9131776112825","95.9673865138828","-6.83120317320406"
"1461","Mellerud","9052","189.239946973045","521.652673442333","289.107379584622","520.76889085285","479.23110914715","493.261157755192","341.69244365886","55.6783031374282","109.36809544852","-12.4834290764472"
"1462","Lilla Edet","14442","220.121866777455","572.981581498407","206.896551724138","522.573050823986","477.426949176014","527.627752388866","332.917878410192","38.3603379033375","101.094031297604","1.10787979504224"
"1463","Mark","35155","209.728345896743","551.016925046224","239.254729057033","506.357559379889","493.642440620111","507.97895036268","350.334234106102","46.6789930308633","95.0078225003556","-3.75480017067273"
"1465","Svenljunga","10747","203.777798455383","531.124965106541","265.097236438076","511.02633293012","488.97366706988","503.117148971806","347.817995719736","47.9203498650786","101.14450544338","-1.11659067646785"
"1466","Herrljunga","9497","195.746025060545","549.647257028535","254.606717910919","512.582920922397","487.417079077603","509.108139412446","341.686848478467","47.3833842265979","101.821627882489","5.89659892597662"
"1470","Vara","16088","197.600696171059","550.907508702138","251.491795126803","515.726006961711","484.273993038289","531.638488314272","329.686723023371","47.3644952759821","91.3102933863749","1.3674788662357"
"1471","Götene","13286","198.931205780521","531.913292187265","269.155502032214","511.44061418034","488.55938581966","486.752973054343","367.529730543429","50.8053590245371","94.9119373776908","5.11816950173115"
"1472","Tibro","11338","200.740871405892","546.480860822015","252.778267772094","506.173928382431","493.826071617569","508.819897689187","341.418239548421","54.9479626036338","94.8139001587582","0.529193861351208"
"1473","Töreboda","9043","186.110803936747","537.100519739025","276.788676324229","516.642707066239","483.357292933761","500.608205241623","352.86962291275","50.3151608979321","96.2070109476943","-10.8371115780161"
"1480","Göteborg","608993","189.18772465365","650.759532539783","160.052742806568","502.774251920794","497.225748079206","579.8375350784","286.929406413538","28.473233682489","104.759824825573","7.18727473057983"
