geo_code,geo_name,women_per1000,men_per1000,born_per1000_raw,died_per1000_raw,migrants_in_per1000,moved_out_per1000,net_immigration_per1000,divorced_separated_per1000,single_80plus_per1000,single_parents_benefit_per1000,disability_benefit_per1000,immigrants_per1000,births_per1000_pop_published,deaths_per1000_pop_published,pct_divorced_separated,pct_single_80plus,pct_single_parents_benefit,pct_disability_benefit,pct_immigrant_background
1832,Hemnes,486.7335562987737,513.2664437012263,6.688963210702341,8.918617614269788,50.16722408026756,42.36343366778149,7.803790412486065,52.61984392419175,45.70791527313266,2.6755852842809364,99.44258639910814,89.85507246376811,6.7,8.9,8.6,62.3,0.9,16.9,9
1833,Rana,491.190274678772,508.8097253212279,9.617604062475957,9.232899899976918,28.54504885742864,28.66046010617835,-0.11541124874971147,59.475263522351305,34.50796337616373,1.9619912287450951,84.01938908978995,90.5978302685235,9.6,9.2,9.3,60.4,0.6,13.6,9.1
1834,Lurøy,478.7910922587487,521.2089077412513,10.604453870625663,8.48356309650053,81.12407211028632,65.74761399787911,15.376458112407212,55.143160127253445,54.08271474019088,,77.94273594909862,137.8579003181336,10.6,8.5,9.2,64.6,,13.5,13.8
1835,Træna,463.8009049773756,536.1990950226244,18.09954751131222,6.787330316742081,95.02262443438913,108.5972850678733,-13.574660633484163,56.56108597285068,27.149321266968325,,70.13574660633485,314.4796380090498,18.1,6.8,7.9,63.2,,10.2,31.4
1836,Rødøy,493.41527655838456,506.58472344161544,7.901668129938543,11.41352063213345,50.92186128182617,43.89815627743634,7.023705004389815,40.38630377524144,39.50834064969271,,82.52853380158034,83.40649692712907,7.9,11.4,6.7,67.2,,14.2,8.3
1837,Meløy,490.6148867313916,509.38511326860845,9.870550161812298,9.546925566343042,40.45307443365696,45.79288025889967,-5.339805825242719,61.48867313915857,39.32038834951456,2.103559870550162,89.15857605177993,104.20711974110031,9.9,9.5,10,61.4,0.7,15.1,10.4
1838,Gildeskål,495.4034729315628,504.5965270684372,7.6608784473953015,12.768130745658835,94.99489274770173,74.5658835546476,20.429009193054135,77.11950970377937,44.43309499489275,,92.95199182839632,172.62512768130745,7.7,12.8,12.7,69,,15.9,17.3
1839,Beiarn,484.9340866290019,515.0659133709981,5.649717514124294,16.0075329566855,80.97928436911488,37.66478342749529,43.314500941619585,53.67231638418079,52.73069679849341,,89.45386064030133,105.46139359698682,5.6,16,9.5,52.3,,16.1,10.5
1840,Saltdal,491.8032786885246,508.1967213114754,5.942622950819672,13.524590163934427,106.76229508196722,52.049180327868854,54.71311475409836,56.14754098360656,36.885245901639344,1.639344262295082,85.65573770491804,143.85245901639342,5.9,13.5,9.3,59.6,0.6,14.7,14.4
1841,Fauske - Fuossko,498.6262338455276,501.3737661544724,8.649638750381602,9.769003765136867,95.65482853363183,68.89182863539229,26.762999898239546,55.866490281876466,37.04080594281062,2.0352091177368474,90.7703266510634,117.63508700518977,8.6,9.8,8.8,60.6,0.7,14.9,11.8
1845,Sørfold,487.62109795479006,512.3789020452099,9.14962325080732,10.22604951560818,44.13347685683531,35.52206673842842,8.611410118406889,58.66523143164693,45.20990312163617,2.1528525296017222,80.19375672766415,103.33692142088267,9.1,10.2,9.8,62.2,0.7,14,10.3
1848,Steigen,493.26347305389226,506.7365269461078,7.110778443113772,13.847305389221557,60.25449101796408,50.52395209580838,9.73053892215569,56.88622754491018,40.41916167664671,1.8712574850299402,77.84431137724552,169.91017964071855,7.1,13.8,9.2,66.7,0.6,13.2,17
1851,Lødingen,500.4854368932039,499.5145631067961,7.281553398058253,12.135922330097086,225.24271844660194,183.49514563106797,41.74757281553398,64.07766990291262,52.42718446601942,1.941747572815534,99.02912621359224,191.74757281553397,7.3,12.1,11.1,58.1,0.7,17.8,19.2
1853,Evenes - Evenássi,481.95488721804514,518.0451127819549,3.0075187969924815,15.789473684210527,89.47368421052632,61.65413533834587,27.81954887218045,64.66165413533835,41.35338345864661,,92.4812030075188,117.29323308270676,3,15.8,10.8,57.9,,16,11.7
1856,Røst,491.30434782608694,508.695652173913,4.3478260869565215,13.043478260869565,60.869565217391305,71.73913043478261,-10.869565217391305,82.6086956521739,47.82608695652174,,80.43478260869564,91.30434782608695,4.3,13,12.7,78.6,,12.8,9.1
1857,Værøy,472.91361639824305,527.086383601757,8.784773060029282,16.105417276720353,46.85212298682284,46.85212298682284,0.0,42.4597364568082,36.603221083455345,5.856515373352855,58.565153733528554,213.76281112737922,8.8,16.1,6.8,54.3,2.1,9.8,21.4
1859,Flakstad,484.13344182262,515.86655817738,7.3230268510984535,21.15541090317331,91.13100081366964,72.41659886086249,18.71440195280716,48.82017900732303,51.26118795768918,,82.1806346623271,161.92026037428803,7.3,21.2,7.7,71.6,,13.4,16.2
1860,Vestvågøy,503.39960409673813,496.60039590326187,10.672174885962647,12.909888974954816,53.79120406231173,45.61494104484034,8.176263017471383,60.24614854978914,30.897667613391857,2.4959118684912642,73.50030123074275,131.2505379120406,10.7,12.9,9.5,62.3,0.8,12,13.1
1865,Vågan,490.75870519759013,509.24129480240987,7.96487286837537,9.80292045338507,70.66271826815073,63.1063004186664,7.556417849484326,58.40906770141938,28.693965077095882,1.838047585009701,69.43735321147759,185.43857857653427,8,9.8,9.1,59.3,0.6,11.2,18.5
1866,Hadsel,493.6862554638174,506.3137445361826,7.8921806702282655,11.898980087421078,72.12238950947061,62.77319086935405,9.349198640116562,59.61631860126275,33.7542496357455,2.1855269548324427,74.91500728508984,155.9009227780476,7.9,11.9,9.6,55.3,0.7,12.5,15.6
1867,Bø,495.0645406226272,504.9354593773728,4.935459377372816,12.528473804100228,66.43887623386483,39.10402429764616,27.33485193621868,67.57782839787396,69.4760820045558,1.8982536066818527,97.9498861047836,130.2201974183751,4.9,12.5,11.5,68.3,0.7,17.2,13
1868,Øksnes,483.47559641059314,516.5244035894069,6.7848544539286495,10.94331363536879,61.06369008535785,49.02604508645218,12.037644998905668,66.31648063033487,38.30159772379076,2.626395272488509,107.02560735390676,181.00240752899978,6.8,10.9,10.3,63.6,0.9,17.2,18.1
1870,Sortland - Suortá,492.65398380109247,507.34601619890753,8.852891316632133,9.88886796006781,61.216801657562634,55.00094179694858,6.215859860614052,59.70992653983801,29.66660388020343,3.7671877943115466,80.6178187982671,124.69391599171219,8.9,9.9,9.4,62.7,1.2,13.2,12.5
1871,Andøy,485.6138809576104,514.3861190423896,8.126509993410938,14.93520755545794,54.46958049637601,52.712497254557434,1.757083241818581,56.00702833296727,40.19327915660004,1.757083241818581,72.6993191302438,139.24884691412257,8.1,14.9,9.3,54.1,0.6,12.6,13.9
1874,Moskenes,464.36058700209645,535.6394129979035,9.433962264150942,13.626834381551362,69.18238993710692,91.19496855345912,-22.0125786163522,73.37526205450735,52.41090146750524,,62.893081761006286,229.55974842767296,9.4,13.6,11.3,54.3,,10,23
1875,Hamarøy - Hábmer,485.1593990472701,514.84060095273,10.626603151337486,14.657383657017224,74.75265665078784,54.23231953096373,20.520337119824113,46.90362770245511,47.636496885305974,,92.3415170392085,165.6284353242946,10.6,14.7,7.7,65.7,,15.8,16.6
5401,Tromsø (2020-2023),497.06013080195567,502.93986919804433,10.273668169407582,5.71464854911423,57.80684487903994,52.72715727982729,5.079687599212648,55.74957140135882,20.153660549876182,2.108070353673249,53.52720807670328,173.63642136008636,10.3,5.7,8,58.6,0.6,7.9,17.4
